# 2Theta    Intensity
4.8253e-03  0.0000e+00
8.6884e-03  1.0000e+00
1.4671e-02  8.5714e-01
2.0661e-02  -4.4444e-01
2.6684e-02  2.1250e+00
3.2709e-02  -4.0000e-01
3.8745e-02  -3.8095e-01
4.4782e-02  2.4000e+00
5.0824e-02  -2.5829e-08
5.6866e-02  5.2174e-01
6.2910e-02  1.3714e+00
6.8956e-02  9.1892e-01
7.5003e-02  5.2632e-01
8.1050e-02  8.3333e-01
8.7098e-02  1.0889e+00
9.3147e-02  -2.7660e-01
9.9196e-02  1.2000e+00
1.0525e-01  -5.6364e-01
1.1130e-01  5.7627e-01
1.1735e-01  -2.1429e-01
1.2340e-01  1.2833e+00
1.2945e-01  9.8592e-01
1.3550e-01  4.8438e-01
1.4155e-01  1.0132e+00
1.4760e-01  6.7606e-01
1.5365e-01  1.2558e+00
1.5970e-01  -2.6761e-01
1.6575e-01  5.3333e-01
1.7180e-01  1.5217e-01
1.7786e-01  1.1609e+00
1.8391e-01  9.8914e-01
1.8996e-01  2.7835e-01
1.9601e-01  1.0094e+00
2.0206e-01  1.0639e-02
2.0811e-01  1.7257e+00
2.1417e-01  1.0797e+00
2.2022e-01  1.7947e+00
2.2627e-01  1.2411e+00
2.3232e-01  1.5041e+00
2.3837e-01  1.5403e+00
2.4442e-01  1.8017e+00
2.5048e-01  1.8672e+00
2.5653e-01  1.3357e+00
2.6258e-01  2.3226e+00
2.6863e-01  2.0000e+00
2.7468e-01  3.1449e+00
2.8074e-01  3.3264e+00
2.8679e-01  3.5525e+00
2.9284e-01  3.4935e+00
2.9889e-01  3.2516e+00
3.0494e-01  3.7104e+00
3.1100e-01  3.8344e+00
3.1705e-01  4.9346e+00
3.2310e-01  4.3581e+00
3.2915e-01  4.6059e+00
3.3521e-01  4.2866e+00
3.4126e-01  5.2693e+00
3.4731e-01  5.2236e+00
3.5336e-01  5.0383e+00
3.5941e-01  5.8377e+00
3.6547e-01  5.2291e+00
3.7152e-01  5.8797e+00
3.7757e-01  5.5159e+00
3.8362e-01  6.1215e+00
3.8967e-01  6.6044e+00
3.9573e-01  6.1925e+00
4.0178e-01  6.5626e+00
4.0783e-01  7.3002e+00
4.1388e-01  7.0188e+00
4.1993e-01  6.4486e+00
4.2599e-01  7.1882e+00
4.3204e-01  7.3460e+00
4.3809e-01  6.9563e+00
4.4414e-01  7.7688e+00
4.5019e-01  7.0413e+00
4.5625e-01  6.9590e+00
4.6230e-01  8.0043e+00
4.6835e-01  7.8019e+00
4.7440e-01  8.1885e+00
4.8045e-01  6.9843e+00
4.8651e-01  8.0680e+00
4.9256e-01  8.1443e+00
4.9861e-01  8.3478e+00
5.0466e-01  7.8084e+00
5.1071e-01  8.6011e+00
5.1677e-01  8.2703e+00
5.2282e-01  8.1578e+00
5.2887e-01  8.6011e+00
5.3492e-01  8.2408e+00
5.4097e-01  8.3491e+00
5.4703e-01  9.1599e+00
5.5308e-01  8.6572e+00
5.5913e-01  8.3091e+00
5.6518e-01  8.4289e+00
5.7123e-01  9.0786e+00
5.7729e-01  8.3485e+00
