# 2Theta    Intensity
4.3096e-03  6.2467e+00
7.7683e-03  5.8067e+00
1.2948e-02  5.2080e+00
1.8127e-02  4.6840e+00
2.3307e-02  4.8086e+00
2.8486e-02  6.7883e+00
3.3666e-02  4.7389e+00
3.8846e-02  4.3571e+00
4.4025e-02  4.7233e+00
4.9205e-02  5.6941e+00
5.4385e-02  6.1316e+00
5.9565e-02  5.7347e+00
6.4744e-02  5.6787e+00
6.9924e-02  5.5169e+00
7.5103e-02  5.7767e+00
8.0283e-02  5.7327e+00
8.5463e-02  4.8829e+00
9.0642e-02  5.6364e+00
9.5822e-02  5.6628e+00
1.0100e-01  5.6824e+00
1.0618e-01  6.1432e+00
1.1136e-01  6.7187e+00
1.1654e-01  6.1063e+00
1.2172e-01  6.5303e+00
1.2690e-01  6.0968e+00
1.3208e-01  7.0374e+00
1.3726e-01  7.4281e+00
1.4244e-01  7.1629e+00
1.4762e-01  7.7321e+00
1.5280e-01  8.3469e+00
1.5798e-01  8.3189e+00
1.6316e-01  9.0691e+00
1.6834e-01  1.0192e+01
1.7352e-01  9.9720e+00
1.7870e-01  9.9788e+00
1.8388e-01  1.1111e+01
1.8906e-01  1.1637e+01
1.9424e-01  1.1789e+01
1.9942e-01  1.2120e+01
2.0460e-01  1.2139e+01
2.0977e-01  1.2688e+01
2.1495e-01  1.3531e+01
2.2013e-01  1.3745e+01
2.2531e-01  1.4042e+01
2.3049e-01  1.4762e+01
2.3567e-01  1.5533e+01
2.4085e-01  1.5504e+01
2.4603e-01  1.5715e+01
2.5121e-01  1.6298e+01
2.5639e-01  1.6144e+01
2.6157e-01  1.7117e+01
2.6675e-01  1.6987e+01
2.7193e-01  1.8814e+01
2.7711e-01  1.7889e+01
2.8229e-01  1.8678e+01
2.8747e-01  1.9161e+01
2.9265e-01  1.9408e+01
2.9783e-01  1.9513e+01
3.0301e-01  2.0188e+01
3.0819e-01  2.0472e+01
3.1337e-01  2.0661e+01
3.1855e-01  2.0807e+01
3.2373e-01  2.1075e+01
3.2891e-01  2.2403e+01
