# 2Theta    Intensity
5.6154e-03  0.0000e+00
1.0250e-02  1.3900e+00
1.7085e-02  2.2621e-01
2.3920e-02  7.0335e-01
3.0755e-02  1.2778e+00
3.7591e-02  1.2138e+00
4.4426e-02  9.3266e-01
5.1261e-02  1.0964e+00
5.8096e-02  8.0624e-01
6.4931e-02  8.7970e-01
7.1766e-02  6.3388e-01
7.8601e-02  9.6606e-01
8.5437e-02  1.0097e+00
9.2272e-02  1.0172e+00
9.9107e-02  6.7296e-01
1.0594e-01  6.1898e-01
1.1278e-01  1.1661e+00
1.1961e-01  1.1470e+00
1.2645e-01  1.1514e+00
1.3328e-01  8.9633e-01
1.4012e-01  1.0021e+00
1.4695e-01  9.2884e-01
1.5379e-01  8.3010e-01
1.6063e-01  9.1000e-01
1.6746e-01  8.2981e-01
1.7429e-01  1.1270e+00
1.8113e-01  9.5545e-01
1.8796e-01  1.0161e+00
1.9480e-01  1.1694e+00
2.0163e-01  1.1811e+00
2.0847e-01  1.3172e+00
2.1531e-01  1.2629e+00
2.2214e-01  1.6726e+00
2.2898e-01  1.8982e+00
2.3581e-01  1.8854e+00
2.4265e-01  2.2835e+00
2.4948e-01  2.2854e+00
2.5632e-01  2.5192e+00
2.6315e-01  2.5349e+00
2.6999e-01  2.8714e+00
2.7682e-01  2.8903e+00
2.8366e-01  2.9158e+00
2.9049e-01  3.1451e+00
2.9733e-01  3.1777e+00
3.0416e-01  3.3381e+00
3.1100e-01  3.3776e+00
3.1783e-01  3.6786e+00
3.2467e-01  3.6093e+00
3.3150e-01  3.6956e+00
3.3834e-01  3.6438e+00
3.4517e-01  4.0347e+00
3.5201e-01  3.8977e+00
3.5884e-01  4.0852e+00
3.6568e-01  4.0958e+00
3.7251e-01  4.0581e+00
3.7935e-01  4.3080e+00
3.8618e-01  4.4178e+00
3.9302e-01  4.5812e+00
3.9985e-01  4.5212e+00
4.0669e-01  4.6374e+00
4.1352e-01  4.6294e+00
4.2036e-01  4.6235e+00
4.2719e-01  4.7237e+00
4.3403e-01  5.0129e+00
4.4086e-01  4.7538e+00
4.4770e-01  4.8583e+00
4.5453e-01  4.9491e+00
4.6137e-01  5.0715e+00
4.6820e-01  4.8218e+00
4.7504e-01  5.1238e+00
4.8187e-01  5.1796e+00
4.8871e-01  5.1191e+00
4.9554e-01  4.9790e+00
5.0238e-01  5.4445e+00
5.0921e-01  5.3431e+00
5.1605e-01  5.0710e+00
5.2288e-01  5.3743e+00
5.2972e-01  5.4961e+00
5.3655e-01  5.1629e+00
5.4338e-01  5.4544e+00
5.5022e-01  5.6037e+00
5.5706e-01  5.2950e+00
5.6389e-01  5.4736e+00
5.7073e-01  5.5469e+00
5.7756e-01  5.5473e+00
5.8440e-01  5.4775e+00
5.9123e-01  5.5174e+00
5.9807e-01  5.6944e+00
6.0490e-01  5.4907e+00
6.1173e-01  5.5853e+00
6.1857e-01  5.7621e+00
6.2540e-01  5.5333e+00
6.3224e-01  5.6080e+00
6.3907e-01  5.5523e+00
6.4591e-01  5.7296e+00
6.5274e-01  5.6372e+00
6.5958e-01  5.7045e+00
6.6641e-01  5.7298e+00
6.7325e-01  5.5251e+00
6.8008e-01  5.6125e+00
6.8692e-01  5.7244e+00
6.9375e-01  5.8186e+00
7.0059e-01  5.6480e+00
7.0742e-01  5.6251e+00
7.1425e-01  5.6681e+00
7.2109e-01  5.6043e+00
7.2792e-01  5.7148e+00
7.3476e-01  5.8387e+00
7.4159e-01  5.8424e+00
7.4843e-01  5.7278e+00
7.5526e-01  5.7393e+00
7.6209e-01  5.9019e+00
7.6893e-01  5.7873e+00
7.7576e-01  5.9021e+00
7.8260e-01  6.0548e+00
7.8943e-01  5.9817e+00
7.9627e-01  5.9607e+00
8.0310e-01  6.0389e+00
8.0993e-01  6.1763e+00
8.1677e-01  6.1019e+00
8.2360e-01  6.3226e+00
8.3044e-01  6.4254e+00
8.3727e-01  6.3233e+00
8.4411e-01  6.4127e+00
8.5094e-01  6.6394e+00
8.5777e-01  6.7608e+00
8.6461e-01  6.6684e+00
8.7144e-01  6.7824e+00
8.7828e-01  7.0319e+00
8.8511e-01  6.9538e+00
8.9194e-01  7.1407e+00
8.9878e-01  7.2813e+00
9.0561e-01  7.3284e+00
9.1244e-01  7.5097e+00
9.1928e-01  7.4289e+00
9.2611e-01  7.7421e+00
9.3295e-01  7.5837e+00
9.3978e-01  7.7567e+00
9.4661e-01  7.9887e+00
9.5345e-01  7.9267e+00
9.6028e-01  8.0690e+00
9.6712e-01  8.2075e+00
9.7395e-01  8.3095e+00
9.8078e-01  8.2201e+00
9.8762e-01  8.3642e+00
9.9445e-01  8.6031e+00
1.0013e+00  8.5680e+00
1.0081e+00  8.5862e+00
1.0149e+00  8.6078e+00
1.0218e+00  8.9045e+00
1.0286e+00  8.7744e+00
1.0355e+00  8.8982e+00
1.0423e+00  9.0351e+00
1.0491e+00  8.9767e+00
1.0560e+00  9.1784e+00
1.0628e+00  9.4206e+00
1.0696e+00  9.3414e+00
1.0765e+00  9.3676e+00
1.0833e+00  9.6074e+00
1.0901e+00  9.6183e+00
1.0970e+00  9.4805e+00
1.1038e+00  9.7567e+00
1.1106e+00  9.9433e+00
1.1175e+00  9.6705e+00
1.1243e+00  9.9764e+00
