# 2Theta    Intensity
4.9787e-03  0.0000e+00
9.0032e-03  1.4000e+00
1.4975e-02  1.2857e+00
2.0947e-02  1.0833e+00
2.6940e-02  1.4286e-01
3.2933e-02  7.6471e-01
3.8933e-02  6.8421e-01
4.4933e-02  1.0435e+00
5.0936e-02  1.0000e+00
5.6939e-02  1.0667e+00
6.2943e-02  7.0000e-01
6.8947e-02  8.7500e-01
7.4953e-02  8.2353e-01
8.0958e-02  1.0000e+00
8.6964e-02  1.0000e+00
9.2970e-02  8.6000e-01
9.8976e-02  1.0000e+00
1.0498e-01  8.9796e-01
1.1099e-01  1.0164e+00
1.1700e-01  8.9655e-01
1.2300e-01  8.9063e-01
1.2901e-01  1.1212e+00
1.3502e-01  1.0588e+00
1.4103e-01  9.7436e-01
1.4703e-01  1.1667e+00
1.5304e-01  1.1325e+00
1.5905e-01  1.0649e+00
1.6505e-01  1.1463e+00
1.7106e-01  1.3226e+00
1.7707e-01  1.1059e+00
1.8308e-01  1.1959e+00
1.8908e-01  1.2688e+00
1.9509e-01  1.2941e+00
2.0110e-01  1.4141e+00
2.0711e-01  1.3535e+00
2.1311e-01  1.3628e+00
2.1912e-01  1.5044e+00
2.2513e-01  1.5391e+00
2.3114e-01  1.5630e+00
2.3715e-01  1.5250e+00
2.4315e-01  1.7462e+00
2.4916e-01  1.8212e+00
2.5517e-01  1.7676e+00
2.6118e-01  1.8438e+00
2.6719e-01  1.7971e+00
2.7319e-01  1.8767e+00
2.7920e-01  2.0426e+00
2.8521e-01  2.0710e+00
2.9122e-01  1.8897e+00
2.9722e-01  2.0926e+00
3.0323e-01  2.0795e+00
3.0924e-01  2.0252e+00
3.1525e-01  2.3059e+00
3.2126e-01  2.2655e+00
3.2726e-01  2.0814e+00
3.3327e-01  2.2500e+00
3.3928e-01  2.2347e+00
3.4529e-01  2.4286e+00
3.5130e-01  2.3673e+00
3.5731e-01  2.3698e+00
3.6331e-01  2.4415e+00
3.6932e-01  2.3718e+00
3.7533e-01  2.4849e+00
3.8134e-01  2.5625e+00
3.8735e-01  2.6001e+00
3.9335e-01  2.5801e+00
3.9936e-01  2.6927e+00
4.0537e-01  2.6986e+00
4.1138e-01  2.6494e+00
4.1738e-01  2.6560e+00
4.2339e-01  2.9724e+00
4.2940e-01  2.7479e+00
4.3541e-01  2.8840e+00
4.4142e-01  2.9443e+00
4.4743e-01  3.0992e+00
4.5343e-01  3.1093e+00
4.5944e-01  3.1241e+00
4.6545e-01  3.3150e+00
4.7146e-01  3.3587e+00
4.7747e-01  3.3776e+00
4.8348e-01  3.4124e+00
4.8948e-01  3.5828e+00
4.9549e-01  3.4660e+00
5.0150e-01  3.8546e+00
5.0751e-01  3.7025e+00
5.1352e-01  4.1084e+00
5.1952e-01  4.0001e+00
5.2553e-01  4.0931e+00
5.3154e-01  4.3009e+00
5.3755e-01  4.2934e+00
5.4356e-01  4.7737e+00
5.4956e-01  4.8805e+00
5.5557e-01  4.8619e+00
5.6158e-01  5.1223e+00
5.6759e-01  5.3752e+00
5.7360e-01  5.2982e+00
5.7961e-01  5.2585e+00
5.8561e-01  5.5619e+00
5.9162e-01  5.8970e+00
5.9763e-01  5.5675e+00
6.0364e-01  6.1608e+00
6.0965e-01  6.0460e+00
6.1565e-01  6.1366e+00
6.2166e-01  6.1268e+00
6.2767e-01  6.3917e+00
6.3368e-01  6.3936e+00
6.3969e-01  6.3286e+00
6.4570e-01  6.6603e+00
6.5170e-01  6.7670e+00
6.5771e-01  6.7606e+00
6.6372e-01  6.8927e+00
6.6973e-01  7.1974e+00
6.7574e-01  7.0672e+00
6.8175e-01  6.8691e+00
6.8775e-01  7.3620e+00
6.9376e-01  7.4433e+00
6.9977e-01  7.2704e+00
7.0578e-01  7.5432e+00
7.1179e-01  7.6306e+00
7.1779e-01  7.6522e+00
7.2380e-01  7.6531e+00
7.2981e-01  7.9509e+00
7.3582e-01  7.8417e+00
7.4183e-01  7.8152e+00
7.4784e-01  8.2841e+00
7.5384e-01  8.2265e+00
7.5985e-01  8.2194e+00
7.6586e-01  8.2130e+00
7.7187e-01  8.5857e+00
7.7788e-01  8.5964e+00
7.8388e-01  8.4584e+00
7.8989e-01  8.9512e+00
7.9590e-01  8.8201e+00
8.0191e-01  9.1006e+00
8.0792e-01  9.0216e+00
8.1392e-01  9.2640e+00
8.1993e-01  9.3449e+00
8.2594e-01  9.2715e+00
8.3195e-01  9.5358e+00
8.3796e-01  9.5183e+00
8.4396e-01  9.7770e+00
8.4997e-01  9.8921e+00
8.5598e-01  9.7072e+00
8.6199e-01  1.0111e+01
8.6800e-01  9.7813e+00
8.7401e-01  1.0350e+01
8.8001e-01  1.0145e+01
8.8602e-01  1.0225e+01
8.9203e-01  1.0466e+01
8.9804e-01  1.0246e+01
9.0405e-01  1.0301e+01
9.1005e-01  9.9551e+00
9.1606e-01  1.0560e+01
9.2207e-01  1.0876e+01
9.2808e-01  1.0727e+01
9.3408e-01  1.0714e+01
9.4009e-01  1.0696e+01
9.4610e-01  1.1264e+01
9.5211e-01  1.1107e+01
9.5812e-01  1.1234e+01
9.6412e-01  1.1439e+01
9.7013e-01  1.1628e+01
9.7614e-01  1.2190e+01
9.8215e-01  1.1651e+01
9.8816e-01  1.2143e+01
9.9416e-01  1.2258e+01
1.0002e+00  1.2188e+01
1.0062e+00  1.2649e+01
1.0122e+00  1.2779e+01
1.0182e+00  1.2920e+01
1.0242e+00  1.2847e+01
1.0302e+00  1.3148e+01
1.0362e+00  1.3122e+01
1.0422e+00  1.3197e+01
1.0482e+00  1.3361e+01
1.0542e+00  1.3102e+01
1.0602e+00  1.3393e+01
1.0663e+00  1.3225e+01
1.0723e+00  1.3367e+01
1.0783e+00  1.3432e+01
1.0843e+00  1.3513e+01
1.0903e+00  1.3625e+01
1.0963e+00  1.3556e+01
1.1023e+00  1.3684e+01
1.1083e+00  1.3630e+01
1.1143e+00  1.3558e+01
1.1203e+00  1.3562e+01
