radial;intensity
0.004380186;5.400173
0.01314056;5.376395
0.02190093;4.898615
0.0306613;5.585059
0.03942167;5.555991
0.04818204;5.322423
0.05694241;5.727317
0.06570279;6.452095
0.07446316;7.686125
0.08322353;7.902864
0.0919839;8.824452
0.1007443;9.919756
0.1095046;11.28161
0.118265;12.26986
0.1270254;13.57578
0.1357858;14.95817
0.1445461;15.92256
0.1533065;17.0103
0.1620669;18.23216
0.1708272;19.3914
0.1795876;20.28622
0.188348;21.20319
0.1971084;21.98388
0.2058687;22.70904
0.2146291;23.38786
0.2233895;24.29972
0.2321498;24.45945
0.2409102;25.10885
0.2496706;25.99738
0.258431;26.21915
0.2671913;26.80587
0.2759517;27.05419
0.2847121;27.61812
0.2934724;28.27623
0.3022328;28.28545
0.3109932;28.50758
0.3197536;28.9917
0.3285139;29.3467
0.3372743;29.66833
0.3460347;30.39845
0.354795;31.15065
0.3635554;32.2437
0.3723158;33.87276
0.3810762;36.19265
0.3898365;39.07969
0.3985969;42.06547
0.4073573;44.58173
0.4161176;45.61858
0.424878;45.88295
0.4336384;45.7359
0.4423988;46.39541
0.4511591;47.38774
0.4599195;48.87462
0.4686799;50.00263
0.4774402;51.60527
0.4862006;53.46708
0.494961;55.51484
0.5037214;57.47499
0.5124817;58.70456
0.5212421;59.75967
0.5300025;60.80738
0.5387628;61.58715
0.5475232;61.95814
0.5562836;62.39332
0.565044;62.75796
0.5738043;63.24111
0.5825647;62.99765
0.5913251;62.95246
0.6000854;63.04967
0.6088458;62.91323
0.6176062;62.74963
0.6263666;62.63273
0.6351269;62.37596
0.6438873;62.1737
0.6526477;61.89155
0.661408;61.79924
0.6701684;61.80014
0.6789288;61.42345
0.6876892;61.34428
0.6964495;61.26509
0.7052099;61.19502
0.7139703;61.2125
0.7227306;61.14588
0.731491;61.3326
0.7402514;61.68584
0.7490118;62.11548
0.7577721;62.55005
0.7665325;63.08834
0.7752929;63.51794
0.7840532;64.00263
0.7928136;63.99657
0.801574;63.62727
0.8103344;63.1921
0.8190947;62.82588
0.8278551;62.33297
0.8366155;62.00515
0.8453758;61.73018
0.8541362;61.61871
0.8628966;61.37483
0.871657;61.07917
0.8804173;60.86657
0.8891777;60.57867
0.8979381;60.41726
0.9066984;60.15131
0.9154588;59.95112
0.9242192;59.80975
0.9329796;59.88384
0.9417399;59.8477
0.9505003;59.88243
0.9592607;60.01401
0.968021;60.23046
0.9767814;60.40719
0.9855418;60.55835
0.9943022;60.69155
1.003063;60.80674
1.011823;60.92863
1.020583;61.0534
1.029344;61.21207
1.038104;61.12898
1.046864;61.2033
1.055625;61.09612
1.064385;60.79454
1.073145;60.52884
1.081906;60.14676
1.090666;59.9509
1.099427;59.73094
1.108187;59.67468
1.116947;59.79008
1.125708;59.79983
1.134468;59.91687
1.143228;60.1333
1.151989;60.0988
1.160749;60.03136
1.16951;59.87246
1.17827;59.77228
1.18703;59.37481
1.195791;59.12371
1.204551;58.92531
1.213311;58.68389
1.222072;58.60381
1.230832;58.54747
1.239593;58.40386
1.248353;58.28121
1.257113;58.1552
1.265874;57.96821
1.274634;57.69177
1.283394;57.61294
1.292155;57.5511
1.300915;57.42654
1.309676;57.27161
1.318436;57.19246
1.327196;57.74038
1.335957;58.11407
1.344717;56.83346
1.353477;56.48697
1.362238;56.29808
1.370998;55.9784
1.379758;55.91798
1.388519;55.81436
1.397279;55.64773
1.40604;55.45346
1.4148;55.83321
1.42356;56.28297
1.432321;55.30917
1.441081;55.22702
1.449841;55.20436
1.458602;55.10154
1.467362;55.27294
1.476123;55.96973
1.484883;56.98011
1.493643;63.6008
1.502404;237.8799
1.511164;884.524
1.519924;279.0264
1.528685;64.22793
1.537445;56.80051
1.546206;55.21841
1.554966;54.43578
1.563726;53.6923
1.572487;53.25824
1.581247;53.2272
1.590007;52.93653
1.598768;53.40631
1.607528;53.79586
1.616289;52.52886
1.625049;51.17994
1.633809;50.81466
1.64257;51.09138
1.65133;54.19072
1.66009;55.03201
1.668851;50.1471
1.677611;48.95683
1.686371;48.53109
1.695132;48.242
1.703892;48.13868
1.712653;48.11557
1.721413;47.76141
1.730173;47.73648
1.738934;47.33091
1.747694;47.13604
1.756454;47.09998
1.765215;46.99974
1.773975;46.94988
1.782736;47.06081
1.791496;47.68881
1.800256;48.41714
1.809017;48.0274
1.817777;47.07141
1.826537;46.9759
1.835298;47.05236
1.844058;47.19345
1.852819;47.60126
1.861579;47.911
1.870339;47.92481
1.8791;48.09395
1.88786;47.18751
1.89662;46.19304
1.905381;45.4176
1.914141;44.89331
1.922902;44.47571
1.931662;43.80654
1.940422;43.78635
1.949183;43.49008
1.957943;43.05774
1.966703;42.80952
1.975464;42.63858
1.984224;42.42468
1.992984;42.42704
2.001745;42.69807
2.010505;43.50311
2.019266;43.83572
2.028026;42.73219
2.036786;41.5861
2.045547;41.30518
2.054307;41.49102
2.063067;41.59611
2.071828;41.44366
2.080588;41.1571
2.089349;41.22698
2.098109;41.96469
2.106869;43.65459
2.11563;48.60672
2.12439;128.0795
2.13315;974.9894
2.141911;996.4696
2.150671;117.6544
2.159432;48.1124
2.168192;43.14707
2.176952;41.03314
2.185713;39.68007
2.194473;38.69995
2.203233;38.12622
2.211994;37.57609
2.220754;37.16074
2.229515;36.90861
2.238275;36.77095
2.247035;37.33204
2.255796;38.34196
2.264556;37.2451
2.273316;36.26717
2.282077;36.25303
2.290837;36.0187
2.299597;35.61613
2.308358;35.90366
2.317118;36.44326
2.325879;37.74877
2.334639;42.74846
2.343399;49.08227
2.35216;41.76155
2.36092;37.79598
2.36968;38.08741
2.378441;39.25555
2.387201;38.66802
2.395962;36.07323
2.404722;34.83642
2.413482;34.26384
2.422243;33.95145
2.431003;33.75815
2.439763;33.73262
2.448524;33.82174
2.457284;34.51004
2.466045;35.40837
2.474805;34.24944
2.483565;33.52723
2.492326;33.42675
2.501086;33.41776
2.509846;33.4342
2.518607;34.33598
2.527367;36.17639
2.536128;34.87913
2.544888;33.49268
2.553648;33.30253
2.562409;33.28591
2.571169;33.51895
2.579929;34.05484
2.58869;35.16283
2.59745;38.82365
2.60621;104.2679
2.614971;512.9161
2.623731;367.4397
2.632492;57.04657
2.641252;37.44213
2.650012;34.8232
2.658773;33.65723
2.667533;33.09077
2.676293;32.66575
2.685054;32.29368
2.693814;32.11345
2.702575;31.96267
2.711335;31.77343
2.720095;31.74026
2.728856;31.84106
2.737616;32.60559
2.746376;32.62252
2.755137;31.60069
2.763897;31.24511
2.772658;31.17846
2.781418;31.23207
2.790178;31.12009
2.798939;31.08833
2.807699;31.19148
2.816459;31.34359
2.82522;31.49167
2.83398;31.7154
2.842741;32.0741
2.851501;32.36668
2.860261;34.07061
2.869022;36.76
2.877782;34.17075
2.886542;31.7874
2.895303;31.34872
2.904063;31.16695
2.912823;31.00426
2.921584;31.00833
2.930344;31.4432
2.939105;31.60514
2.947865;31.31211
2.956625;31.47902
2.965386;33.09898
2.974146;33.32814
2.982906;31.84983
2.991667;31.81796
3.000427;33.29552
3.009188;53.7976
3.017948;234.1002
3.026708;268.7954
3.035469;59.01954
3.044229;33.0695
3.052989;31.72398
3.06175;31.24237
3.07051;31.07806
3.079271;31.26401
3.088031;31.19624
3.096791;30.98871
3.105552;31.14785
3.114312;32.03273
3.123072;31.8146
3.131833;30.98876
3.140593;30.71766
3.149354;30.47333
3.158114;30.41358
3.166874;30.39542
3.175635;30.49875
3.184395;30.52269
3.193155;30.64567
3.201916;30.99055
3.210676;31.47716
3.219436;31.42187
3.228197;31.18596
3.236957;31.01128
3.245718;31.1086
3.254478;31.31089
3.263238;31.51607
3.271999;31.43376
3.280759;31.30512
3.289519;31.32647
3.29828;31.87057
3.30704;34.0452
3.315801;35.15982
3.324561;32.86027
3.333321;31.78791
3.342082;32.06415
3.350842;33.32076
3.359602;39.1283
3.368363;147.1166
3.377123;614.9102
