# Energy Intensity
4.770136599999999817e+03 5.278230300000000264e-02
4.776905099999999948e+03 4.609621500000000288e-02
4.789028599999999642e+03 3.432112500000000094e-02
4.800351499999999760e+03 2.400316900000000128e-02
4.810803899999999885e+03 1.558382300000000012e-02
4.821038099999999758e+03 9.224906600000000803e-03
4.831161100000000260e+03 7.298443200000000013e-03
4.841220699999999852e+03 1.629013500000000073e-02
4.851280300000000352e+03 2.263532399999999833e-02
4.861385800000000017e+03 5.324843300000000430e-04
4.871552899999999681e+03 -1.473852699999999953e-02
4.881796800000000076e+03 -1.699024600000000051e-02
4.892148299999999836e+03 -1.666685399999999831e-02
4.902619499999999789e+03 -1.579479699999999931e-02
4.912994200000000092e+03 -1.183358500000000063e-02
4.922742900000000191e+03 -6.247587100000000226e-03
4.931934500000000298e+03 -2.996530600000000058e-03
4.936313600000000406e+03 -2.462826200000000059e-03
4.936513299999999617e+03 -2.423504999999999843e-03
4.936713700000000244e+03 -2.150848999999999817e-03
4.936913599999999860e+03 -1.739225000000000059e-03
4.937113299999999981e+03 -2.156099199999999931e-03
4.937313299999999799e+03 -2.717834699999999940e-03
4.937513899999999921e+03 -2.007706499999999897e-03
4.937713800000000447e+03 -8.223107699999999921e-04
4.937912999999999556e+03 -1.109278200000000068e-05
4.938113699999999881e+03 2.111721299999999991e-04
4.938313600000000406e+03 -5.146635399999999584e-04
4.938513399999999820e+03 -1.542249000000000094e-03
4.938713399999999638e+03 -1.672529600000000061e-03
4.938913199999999961e+03 -9.264991999999999672e-04
4.939114300000000185e+03 -2.418772800000000079e-04
4.939313400000000001e+03 -4.689127599999999845e-04
4.939512800000000425e+03 -8.916488100000000009e-04
4.939714200000000346e+03 -4.622449200000000114e-04
4.939913499999999658e+03 -7.668587999999999837e-04
4.940113199999999779e+03 -1.713916000000000007e-03
4.940313699999999699e+03 -1.979837300000000019e-03
4.940513500000000022e+03 -1.591581099999999933e-03
4.940713899999999740e+03 -7.581679399999999508e-04
4.940913099999999758e+03 1.267521400000000051e-04
4.941113500000000386e+03 2.270408099999999971e-05
4.941313799999999901e+03 -5.640305800000000461e-04
4.941513399999999820e+03 -8.208678500000000456e-04
4.941713200000000143e+03 -7.915621000000000289e-04
4.941913999999999760e+03 -1.523921000000000075e-04
4.942112900000000081e+03 2.195897299999999980e-04
4.942313900000000103e+03 -3.998798800000000187e-04
4.942513500000000022e+03 -4.615152200000000038e-04
4.942713600000000042e+03 4.118333900000000262e-04
4.942913499999999658e+03 1.330159100000000063e-03
4.943113099999999577e+03 1.750388899999999947e-03
4.943313699999999699e+03 1.251232400000000045e-03
4.943513600000000224e+03 7.433732800000000460e-04
4.943713499999999840e+03 8.643998599999999947e-04
4.943913599999999860e+03 2.257700200000000140e-03
4.944113500000000386e+03 2.316439600000000203e-03
4.944313500000000204e+03 1.289205099999999899e-03
4.944513500000000022e+03 1.858649100000000012e-03
4.944713700000000244e+03 2.400754299999999838e-03
4.944913099999999758e+03 2.690170700000000213e-03
4.945113699999999881e+03 2.962327900000000149e-03
4.945313900000000103e+03 2.146014099999999942e-03
4.945513299999999617e+03 1.272287100000000018e-03
4.945713600000000042e+03 2.079050199999999890e-03
4.945913800000000265e+03 2.186091499999999986e-03
4.946113000000000284e+03 1.509015700000000074e-03
4.946313400000000001e+03 7.910622599999999737e-04
4.946513700000000426e+03 1.285868199999999975e-03
4.946713800000000447e+03 1.736099700000000084e-03
4.946912999999999556e+03 1.258275799999999944e-03
4.947113699999999881e+03 1.031377999999999896e-03
4.947313699999999699e+03 5.090124000000000124e-04
4.947513299999999617e+03 2.520291900000000223e-04
4.947713499999999840e+03 6.629343599999999769e-04
4.947913800000000265e+03 -2.969899799999999859e-04
4.948113299999999981e+03 -1.277743600000000009e-03
4.948313500000000204e+03 -1.440614399999999920e-03
4.948513799999999719e+03 -1.146286899999999923e-03
4.948713200000000143e+03 -2.878194199999999786e-04
4.948913400000000365e+03 1.616306399999999999e-04
4.949113500000000386e+03 2.096050100000000106e-04
4.949313900000000103e+03 8.879296499999999800e-04
4.949513600000000224e+03 1.842427399999999917e-03
4.949712999999999738e+03 2.070087500000000139e-03
4.949913099999999758e+03 1.902530200000000001e-03
4.950114700000000084e+03 1.902975500000000063e-03
4.950312700000000405e+03 2.390387199999999962e-03
4.950513600000000224e+03 3.155645400000000027e-03
4.950713700000000244e+03 3.045172599999999841e-03
4.950913599999999860e+03 1.636096799999999917e-03
4.951113299999999981e+03 6.241823899999999949e-04
4.951313699999999699e+03 1.059009600000000067e-03
4.951513700000000426e+03 1.440382100000000068e-03
4.951713499999999840e+03 2.191277799999999994e-03
4.951912800000000061e+03 2.621004699999999934e-03
4.952113900000000285e+03 2.929088500000000001e-03
4.952313900000000103e+03 3.319006800000000052e-03
4.952513200000000325e+03 3.359467899999999969e-03
4.952713399999999638e+03 3.198077699999999930e-03
4.952913700000000063e+03 2.162540699999999927e-03
4.953113699999999881e+03 1.491711900000000039e-03
4.953313400000000001e+03 1.961018900000000009e-03
4.953513399999999820e+03 2.548229500000000116e-03
4.953713600000000042e+03 2.591262699999999797e-03
4.953913499999999658e+03 2.985612199999999970e-03
4.954113199999999779e+03 3.635500299999999945e-03
4.954313799999999901e+03 3.922284600000000045e-03
4.954513799999999719e+03 3.786032400000000075e-03
4.954713099999999940e+03 4.123205599999999783e-03
4.954913599999999860e+03 4.744449300000000078e-03
4.955113599999999678e+03 5.791830300000000084e-03
4.955313699999999699e+03 6.402313500000000358e-03
4.955513200000000325e+03 5.730913899999999679e-03
4.955713399999999638e+03 4.350101599999999652e-03
4.955913899999999558e+03 4.388782199999999994e-03
4.956113599999999678e+03 5.988669599999999621e-03
4.956313299999999799e+03 7.001158700000000186e-03
4.956513799999999719e+03 7.161929600000000243e-03
4.956713200000000143e+03 7.775117500000000396e-03
4.956913499999999658e+03 8.403611599999999404e-03
4.957113699999999881e+03 8.939174100000000719e-03
4.957313199999999597e+03 9.826555699999999643e-03
4.957513700000000426e+03 1.112970700000000084e-02
4.957712900000000445e+03 1.114104800000000062e-02
4.957914300000000367e+03 9.904810300000000539e-03
4.958113299999999981e+03 1.019727299999999975e-02
4.958313299999999799e+03 1.116885100000000047e-02
4.958513700000000426e+03 1.165874400000000040e-02
4.958713700000000244e+03 1.065163199999999942e-02
4.958913300000000163e+03 1.025878099999999980e-02
4.959113500000000386e+03 1.131140400000000060e-02
4.959313400000000001e+03 1.266229999999999960e-02
4.959513700000000426e+03 1.293438300000000069e-02
4.959712900000000445e+03 1.265549000000000014e-02
4.959914300000000367e+03 1.326776600000000028e-02
4.960113400000000183e+03 1.445864600000000035e-02
4.960313299999999799e+03 1.517624400000000019e-02
4.960513100000000122e+03 1.513142800000000059e-02
4.960714200000000346e+03 1.462485500000000084e-02
4.960913300000000163e+03 1.463106699999999934e-02
4.961113299999999981e+03 1.526121700000000053e-02
4.961313299999999799e+03 1.585258900000000026e-02
4.961514100000000326e+03 1.496680199999999954e-02
4.961713300000000345e+03 1.438304399999999934e-02
4.961913199999999961e+03 1.527141700000000067e-02
4.962113900000000285e+03 1.593091099999999899e-02
4.962313500000000204e+03 1.568718300000000038e-02
4.962513600000000224e+03 1.546572799999999977e-02
4.962713499999999840e+03 1.631374999999999839e-02
4.962912800000000061e+03 1.728990899999999914e-02
4.963113900000000285e+03 1.807743800000000123e-02
4.963314199999999801e+03 1.917368800000000123e-02
4.963512600000000020e+03 1.871726699999999924e-02
4.963713800000000447e+03 1.876115700000000053e-02
4.963913599999999860e+03 1.994407200000000019e-02
4.964113299999999981e+03 2.037203500000000014e-02
4.964313699999999699e+03 2.150081400000000004e-02
4.964513700000000426e+03 2.356915899999999925e-02
4.964713399999999638e+03 2.537163599999999949e-02
4.964913199999999961e+03 2.824860400000000007e-02
4.965113800000000083e+03 3.233997699999999892e-02
4.965313100000000304e+03 3.664545400000000092e-02
4.965514000000000124e+03 4.173428900000000080e-02
4.965713200000000143e+03 5.026177300000000264e-02
4.965913800000000265e+03 6.348069900000000154e-02
4.966113400000000183e+03 8.019857499999999417e-02
4.966313299999999799e+03 9.717528200000000171e-02
4.966513799999999719e+03 1.090483299999999989e-01
4.966713800000000447e+03 1.134432400000000007e-01
4.966913199999999961e+03 1.099231299999999939e-01
4.967113500000000386e+03 1.005514200000000025e-01
4.967313600000000406e+03 9.086015499999999800e-02
4.967513500000000022e+03 8.745938000000000323e-02
4.967713200000000143e+03 9.178731099999999643e-02
4.967914099999999962e+03 1.027058299999999980e-01
4.968113099999999577e+03 1.173135700000000059e-01
4.968313699999999699e+03 1.322097700000000042e-01
4.968513500000000022e+03 1.465799899999999933e-01
4.968713499999999840e+03 1.591274000000000022e-01
4.968913199999999961e+03 1.694688699999999937e-01
4.969113800000000083e+03 1.800508500000000123e-01
4.969313299999999799e+03 1.898925399999999986e-01
4.969513899999999921e+03 1.980296400000000068e-01
4.969713200000000143e+03 2.025071499999999969e-01
4.969913700000000063e+03 2.004113200000000039e-01
4.970113500000000386e+03 1.923140700000000036e-01
4.970313299999999799e+03 1.817510400000000026e-01
4.970513500000000022e+03 1.716563500000000131e-01
4.970713800000000447e+03 1.641230999999999940e-01
4.970913400000000365e+03 1.617901300000000042e-01
4.971113599999999678e+03 1.648415299999999861e-01
4.971313000000000102e+03 1.709457500000000074e-01
4.971514000000000124e+03 1.798899399999999982e-01
4.971713399999999638e+03 1.890710499999999905e-01
4.971913499999999658e+03 1.960917699999999986e-01
4.972113299999999981e+03 1.997005400000000097e-01
