# Energy Intensity
4.770089200000000346e+03 -9.670019599999999521e-04
4.776853799999999865e+03 -1.158525099999999910e-03
4.789017399999999725e+03 -1.322829800000000031e-03
4.800351399999999558e+03 -1.617788499999999949e-03
4.810804000000000087e+03 -2.172380800000000016e-04
4.821037999999999556e+03 3.624162000000000217e-03
4.831161000000000058e+03 4.651247699999999652e-03
4.841220699999999852e+03 3.290527000000000122e-03
4.851280300000000352e+03 1.382419200000000034e-03
4.861385900000000220e+03 -1.474909599999999930e-03
4.871552899999999681e+03 -2.712611599999999960e-03
4.881796800000000076e+03 -2.580062599999999925e-03
4.892148299999999836e+03 -2.504536099999999949e-03
4.902619499999999789e+03 -2.645190500000000125e-03
4.912994200000000092e+03 -2.571159700000000183e-03
4.922742900000000191e+03 -2.189153899999999979e-03
4.931934500000000298e+03 -1.294037199999999903e-03
4.936313699999999699e+03 -1.011332300000000088e-03
4.936513399999999820e+03 -9.770315300000000005e-04
4.936713399999999638e+03 -9.915589299999999929e-04
4.936913899999999558e+03 -8.995851599999999575e-04
4.937113599999999678e+03 -7.177941699999999771e-04
4.937313299999999799e+03 -7.461665099999999521e-04
4.937513700000000426e+03 -8.803543299999999497e-04
4.937713200000000143e+03 -1.023250100000000105e-03
4.937913499999999658e+03 -1.062121500000000026e-03
4.938113599999999678e+03 -9.199818099999999615e-04
4.938313699999999699e+03 -6.819754900000000227e-04
4.938513500000000022e+03 -5.748178400000000408e-04
4.938713099999999940e+03 -6.691788499999999466e-04
4.938913599999999860e+03 -7.407611799999999766e-04
4.939113599999999678e+03 -6.686264599999999694e-04
4.939313799999999901e+03 -6.187604500000000365e-04
4.939513299999999617e+03 -6.059315600000000218e-04
4.939713600000000042e+03 -5.407223100000000532e-04
4.939913499999999658e+03 -5.410521099999999767e-04
4.940113400000000183e+03 -4.644154900000000254e-04
4.940313400000000001e+03 -3.156301399999999948e-04
4.940513600000000224e+03 -2.924465799999999846e-04
4.940713700000000244e+03 -3.543858099999999916e-04
4.940913599999999860e+03 -1.329891000000000038e-04
4.941113199999999779e+03 1.178693200000000013e-04
4.941313799999999901e+03 4.599053000000000163e-05
4.941513100000000122e+03 -1.585994900000000111e-04
4.941713700000000244e+03 -2.329279800000000019e-04
4.941913700000000063e+03 -1.376682099999999983e-04
4.942113099999999577e+03 1.143171400000000064e-04
4.942313799999999901e+03 2.041211000000000132e-04
4.942513500000000022e+03 1.571926300000000122e-04
4.942713499999999840e+03 2.199508999999999883e-04
4.942913599999999860e+03 3.690767500000000133e-04
4.943113299999999981e+03 5.788182599999999777e-04
4.943313600000000406e+03 6.773714099999999507e-04
4.943513500000000022e+03 6.303358499999999528e-04
4.943713499999999840e+03 6.859402400000000257e-04
4.943913800000000265e+03 8.158519599999999915e-04
4.944113099999999577e+03 9.911790400000000754e-04
4.944313400000000001e+03 1.036398399999999926e-03
4.944513799999999719e+03 9.387307100000000151e-04
4.944713899999999740e+03 9.922946899999999636e-04
4.944913099999999758e+03 1.209945499999999985e-03
4.945113400000000183e+03 1.360599000000000097e-03
4.945313600000000406e+03 1.267031399999999980e-03
4.945513600000000224e+03 1.116775100000000007e-03
4.945713300000000345e+03 1.185929799999999902e-03
4.945913700000000063e+03 1.388736499999999961e-03
4.946113900000000285e+03 1.469123699999999935e-03
4.946313100000000304e+03 1.361837999999999981e-03
4.946513700000000426e+03 1.378173899999999988e-03
4.946712900000000445e+03 1.594528800000000060e-03
4.946914499999999862e+03 1.838851199999999922e-03
4.947112799999999879e+03 1.860560600000000023e-03
