natx =      151
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
     -1.39530     -0.70675     -1.76600   2      2.35905
     -1.39530     -0.70675      1.76600   2      2.35905
      1.39530      0.70675     -1.76600   2      2.35905
      1.39530      0.70675      1.76600   2      2.35905
     -0.93020      2.18975      0.00000   2      2.37914
      0.93020     -2.18975      0.00000   2      2.37914
      0.00000      0.00000      3.53200   1      3.53200
      0.00000      0.00000     -3.53200   1      3.53200
     -0.93020     -3.60325      0.00000   2      3.72138
      0.93020      3.60325      0.00000   2      3.72138
     -3.25570      0.70675     -1.76600   2      3.77065
     -3.25570      0.70675      1.76600   2      3.77065
      3.25570     -0.70675     -1.76600   2      3.77065
      3.25570     -0.70675      1.76600   2      3.77065
     -2.32550     -2.89650     -1.76600   1      4.11296
     -2.32550     -2.89650      1.76600   1      4.11296
      2.32550     -2.89650     -1.76600   1      4.11296
     -2.32550      2.89650     -1.76600   1      4.11296
      2.32550     -2.89650      1.76600   1      4.11296
     -2.32550      2.89650      1.76600   1      4.11296
      2.32550      2.89650     -1.76600   1      4.11296
      2.32550      2.89650      1.76600   1      4.11296
     -0.93020      2.18975      3.53200   2      4.25856
     -0.93020      2.18975     -3.53200   2      4.25856
      0.93020     -2.18975      3.53200   2      4.25856
      0.93020     -2.18975     -3.53200   2      4.25856
      3.72080      2.18975      0.00000   2      4.31733
     -3.72080     -2.18975      0.00000   2      4.31733
      4.65100      0.00000      0.00000   1      4.65100
     -4.65100      0.00000      0.00000   1      4.65100
     -0.93020     -3.60325      3.53200   2      5.13066
     -0.93020     -3.60325     -3.53200   2      5.13066
      0.93020      3.60325      3.53200   2      5.13066
      0.93020      3.60325     -3.53200   2      5.13066
      3.72080     -3.60325      0.00000   2      5.17955
     -3.72080      3.60325      0.00000   2      5.17955
     -1.39530     -0.70675     -5.29800   2      5.52405
      1.39530      0.70675     -5.29800   2      5.52405
     -1.39530      5.08625     -1.76600   2      5.56198
     -1.39530      5.08625      1.76600   2      5.56198
      1.39530     -5.08625     -1.76600   2      5.56198
      1.39530     -5.08625      1.76600   2      5.56198
      3.72080      2.18975      3.53200   2      5.57803
      3.72080      2.18975     -3.53200   2      5.57803
     -3.72080     -2.18975      3.53200   2      5.57803
     -3.72080     -2.18975     -3.53200   2      5.57803
      0.00000      5.79300      0.00000   1      5.79300
      0.00000     -5.79300      0.00000   1      5.79300
      4.65100      0.00000      3.53200   1      5.84010
     -4.65100      0.00000      3.53200   1      5.84010
      4.65100      0.00000     -3.53200   1      5.84010
     -4.65100      0.00000     -3.53200   1      5.84010
      5.58120     -2.18975      0.00000   2      5.99540
     -5.58120      2.18975      0.00000   2      5.99540
      3.25570     -0.70675     -5.29800   2      6.25842
     -3.25570      0.70675     -5.29800   2      6.25842
      3.72080     -3.60325      3.53200   2      6.26919
      3.72080     -3.60325     -3.53200   2      6.26919
     -3.72080      3.60325      3.53200   2      6.26919
     -3.72080      3.60325     -3.53200   2      6.26919
     -3.25570     -5.08625     -1.76600   2      6.29192
     -3.25570     -5.08625      1.76600   2      6.29192
      3.25570      5.08625     -1.76600   2      6.29192
      3.25570      5.08625      1.76600   2      6.29192
     -6.04630     -0.70675     -1.76600   2      6.33845
     -6.04630     -0.70675      1.76600   2      6.33845
      6.04630      0.70675     -1.76600   2      6.33845
      6.04630      0.70675      1.76600   2      6.33845
     -2.32550     -2.89650     -5.29800   1      6.47043
      2.32550     -2.89650     -5.29800   1      6.47043
     -2.32550      2.89650     -5.29800   1      6.47043
      2.32550      2.89650     -5.29800   1      6.47043
      5.58120      3.60325      0.00000   2      6.64328
     -5.58120     -3.60325      0.00000   2      6.64328
      0.00000      5.79300      3.53200   1      6.78483
      0.00000      5.79300     -3.53200   1      6.78483
      0.00000     -5.79300      3.53200   1      6.78483
      0.00000     -5.79300     -3.53200   1      6.78483
     -1.39530     -6.49975     -1.76600   2      6.87839
     -1.39530     -6.49975      1.76600   2      6.87839
      1.39530      6.49975     -1.76600   2      6.87839
      1.39530      6.49975      1.76600   2      6.87839
      5.58120     -2.18975      3.53200   2      6.95844
      5.58120     -2.18975     -3.53200   2      6.95844
     -5.58120      2.18975      3.53200   2      6.95844
     -5.58120      2.18975     -3.53200   2      6.95844
      4.65100      5.79300      0.00000   1      7.42904
     -4.65100      5.79300      0.00000   1      7.42904
      4.65100     -5.79300      0.00000   1      7.42904
     -4.65100     -5.79300      0.00000   1      7.42904
     -1.39530      5.08625     -5.29800   2      7.47567
      1.39530     -5.08625     -5.29800   2      7.47567
      3.25570     -6.49975     -1.76600   2      7.48098
      3.25570     -6.49975      1.76600   2      7.48098
     -3.25570      6.49975     -1.76600   2      7.48098
     -3.25570      6.49975      1.76600   2      7.48098
     -5.58120     -3.60325      3.53200   2      7.52384
     -5.58120     -3.60325     -3.53200   2      7.52384
      5.58120      3.60325      3.53200   2      7.52384
      5.58120      3.60325     -3.53200   2      7.52384
     -6.97650     -2.89650     -1.76600   1      7.75758
     -6.97650     -2.89650      1.76600   1      7.75758
     -6.97650      2.89650     -1.76600   1      7.75758
     -6.97650      2.89650      1.76600   1      7.75758
      3.25570      5.08625     -5.29800   2      8.03358
     -3.25570     -5.08625     -5.29800   2      8.03358
     -0.93020      7.98275      0.00000   2      8.03677
      0.93020     -7.98275      0.00000   2      8.03677
     -6.04630     -0.70675     -5.29800   2      8.07007
      6.04630      0.70675     -5.29800   2      8.07007
     -6.04630      5.08625     -1.76600   2      8.09608
     -6.04630      5.08625      1.76600   2      8.09608
      6.04630     -5.08625     -1.76600   2      8.09608
      6.04630     -5.08625      1.76600   2      8.09608
      4.65100      5.79300      3.53200   1      8.22591
     -4.65100      5.79300      3.53200   1      8.22591
     -4.65100      5.79300     -3.53200   1      8.22591
      4.65100      5.79300     -3.53200   1      8.22591
      4.65100     -5.79300      3.53200   1      8.22591
     -4.65100     -5.79300      3.53200   1      8.22591
     -4.65100     -5.79300     -3.53200   1      8.22591
      4.65100     -5.79300     -3.53200   1      8.22591
     -1.39530     -6.49975     -5.29800   2      8.50073
      1.39530      6.49975     -5.29800   2      8.50073
     -0.93020      7.98275      3.53200   2      8.77865
     -0.93020      7.98275     -3.53200   2      8.77865
      0.93020     -7.98275      3.53200   2      8.77865
      0.93020     -7.98275     -3.53200   2      8.77865
      3.72080      7.98275      0.00000   2      8.80731
     -3.72080     -7.98275      0.00000   2      8.80731
