 # r       w_scrn(r)      v_ch(r)
    0.1507330463E-03    0.2669214332E+02    0.2916165288E+02
    0.1584612949E-03    0.2669213664E+02    0.2916164619E+02
    0.1665857792E-03    0.2669212292E+02    0.2916163247E+02
    0.1751268148E-03    0.2669210175E+02    0.2916161130E+02
    0.1841057586E-03    0.2669207267E+02    0.2916158222E+02
    0.1935450626E-03    0.2669203515E+02    0.2916154470E+02
    0.2034683302E-03    0.2669198859E+02    0.2916149814E+02
    0.2139003746E-03    0.2669193233E+02    0.2916144187E+02
    0.2248672813E-03    0.2669186562E+02    0.2916137516E+02
    0.2363964733E-03    0.2669178762E+02    0.2916129715E+02
    0.2485167797E-03    0.2669169740E+02    0.2916120693E+02
    0.2612585075E-03    0.2669159393E+02    0.2916110345E+02
    0.2746535176E-03    0.2669147605E+02    0.2916098556E+02
    0.2887353046E-03    0.2669134249E+02    0.2916085199E+02
    0.3035390802E-03    0.2669119182E+02    0.2916070131E+02
    0.3191018616E-03    0.2669102248E+02    0.2916053196E+02
    0.3354625639E-03    0.2669083274E+02    0.2916034220E+02
    0.3526620974E-03    0.2669062067E+02    0.2916013012E+02
    0.3707434697E-03    0.2669038417E+02    0.2915989360E+02
    0.3897518939E-03    0.2669012088E+02    0.2915963029E+02
    0.4097349008E-03    0.2668982823E+02    0.2915933762E+02
    0.4307424584E-03    0.2668950337E+02    0.2915901274E+02
    0.4528270965E-03    0.2668914316E+02    0.2915865251E+02
    0.4760440382E-03    0.2668874415E+02    0.2915825347E+02
    0.5004513380E-03    0.2668830252E+02    0.2915781180E+02
    0.5261100268E-03    0.2668781406E+02    0.2915732331E+02
    0.5530842647E-03    0.2668727417E+02    0.2915678338E+02
    0.5814415013E-03    0.2668667775E+02    0.2915618692E+02
    0.6112526445E-03    0.2668601920E+02    0.2915552832E+02
    0.6425922378E-03    0.2668529236E+02    0.2915480143E+02
    0.6755386463E-03    0.2668449044E+02    0.2915399946E+02
    0.7101742534E-03    0.2668360601E+02    0.2915311496E+02
    0.7465856660E-03    0.2668263086E+02    0.2915213974E+02
    0.7848639316E-03    0.2668155598E+02    0.2915106479E+02
    0.8251047659E-03    0.2668037148E+02    0.2914988020E+02
