natx =      424
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      0.23451     -0.22737      1.76454   2      1.79452
     -0.24114     -0.19046     -1.81439   1      1.84023
      1.08718      1.14704     -1.88347   3      2.45869
     -0.05819      2.44762     -0.43787   2      2.48716
      1.10554     -1.52796     -1.74531   3      2.56963
      2.61681     -0.15354     -0.43787   2      2.65763
     -1.58782      1.14704     -1.88347   3      2.71741
     -2.73319     -0.15354     -0.43787   2      2.77230
     -1.56946     -1.52796     -1.74531   3      2.80071
     -2.49868     -0.38092      1.32668   3      2.85457
     -0.05819     -2.90238     -0.43787   2      2.93580
      0.17632      2.67500      1.32668   3      2.99112
      0.17632     -2.67500      1.32668   3      2.99112
      2.85132     -0.38092      1.32668   3      3.16784
     -0.92922      1.14704      3.07199   3      3.40827
      2.67500      2.29408      0.00000   3      3.52398
     -2.67500      2.29408      0.00000   3      3.52398
     -0.91086     -1.52796      3.21015   3      3.67007
     -0.48227     -0.38092     -3.62879   3      3.68046
      1.74578      1.14704      3.07199   3      3.71491
     -2.25754     -0.19046      3.14107   1      3.87287
      2.25092     -0.22737     -3.19092   2      3.91156
      2.43386      2.48454     -1.81439   1      3.92284
     -2.44049      2.52146      1.76454   2      3.92776
      1.76414     -1.52796      3.21015   3      3.96887
      0.41746      2.48454      3.14107   1      4.02660
      2.67500     -3.05592      0.00000   3      4.06131
     -2.67500     -3.05592      0.00000   3      4.06131
     -0.42408      2.52146     -3.19092   2      4.08896
     -2.44049     -2.82855      1.76454   2      4.13162
      2.43386     -2.86546     -1.81439   1      4.17451
      2.90951      2.52146      1.76454   2      4.23516
     -2.91614      2.48454     -1.81439   1      4.23896
      0.41746     -2.86546      3.14107   1      4.27217
     -0.42408     -2.82855     -3.19092   2      4.28515
      1.10554      3.82204     -1.74531   3      4.34469
      3.76218      1.14704     -1.88347   3      4.36087
      3.09246     -0.19046      3.14107   1      4.41201
      2.90951     -2.82855      1.76454   2      4.42488
      3.78054     -1.52796     -1.74531   3      4.43546
     -3.09908     -0.22737     -3.19092   2      4.45398
     -2.91614     -2.86546     -1.81439   1      4.47289
     -1.56946      3.82204     -1.74531   3      4.48523
      0.60040     -0.15354      4.51760   2      4.55991
      1.08718     -4.20296     -1.88347   3      4.73226
     -4.26282      1.14704     -1.88347   3      4.79946
     -4.24446     -1.52796     -1.74531   3      4.83696
     -1.58782     -4.20296     -1.88347   3      4.87170
     -3.60423      1.14704      3.07199   3      4.87271
      2.19273      2.67500     -3.62879   3      5.01316
      2.19273     -2.67500     -3.62879   3      5.01316
     -3.58586     -1.52796      3.21015   3      5.04957
     -0.91086      3.82204      3.21015   3      5.07373
     -0.92922     -4.20296      3.07199   3      5.28824
      1.76414      3.82204      3.21015   3      5.29389
      5.35000      0.00000      0.00000   3      5.35000
     -5.35000      0.00000      0.00000   3      5.35000
      0.00000      5.35000      0.00000   3      5.35000
      0.00000     -5.35000      0.00000   3      5.35000
     -2.01641      0.00000      4.95546   3      5.35000
      2.01641      0.00000     -4.95546   3      5.35000
     -5.11549     -0.22737      1.76454   2      5.41604
      0.23451      5.12263      1.76454   2      5.42309
      5.10886     -0.19046     -1.81439   1      5.42483
     -0.71679     -0.15354     -5.39333   2      5.44292
     -0.24114      5.15954     -1.81439   1      5.47458
      1.74578     -4.20296      3.07199   3      5.49088
      0.65859      2.29408      4.95546   3      5.50029
     -0.65859      2.29408     -4.95546   3      5.50029
     -3.15727      2.67500     -3.62879   3      5.50383
     -3.15727     -2.67500     -3.62879   3      5.50383
      4.42077      1.14704      3.07199   3      5.50419
     -2.07460      2.44762      4.51760   2      5.54108
      3.78054      3.82204     -1.74531   3      5.65213
      4.43914     -1.52796      3.21015   3      5.68732
     -2.49868      4.96908      1.32668   3      5.71797
     -2.07460     -2.90238      4.51760   2      5.75642
      2.61681      5.19646     -0.43787   2      5.83460
     -0.24114     -5.54046     -1.81439   1      5.83497
      5.29181      2.44762     -0.43787   2      5.84686
      0.23451     -5.57737      1.76454   2      5.85455
      0.65859     -3.05592      4.95546   3      5.85910
     -0.65859     -3.05592     -4.95546   3      5.85910
      5.58451     -0.22737      1.76454   2      5.86106
      2.85132      4.96908      1.32668   3      5.88063
     -5.59114     -0.19046     -1.81439   1      5.88125
     -2.73319      5.19646     -0.43787   2      5.88772
      3.76218     -4.20296     -1.88347   3      5.94696
     -5.40819      2.44762     -0.43787   2      5.95241
      3.33359      0.00000      4.95546   3      5.97239
     -3.33359      0.00000     -4.95546   3      5.97239
     -4.24446      3.82204     -1.74531   3      5.97240
     -5.17368      2.67500      1.32668   3      5.97350
     -5.17368     -2.67500      1.32668   3      5.97350
      5.29181     -2.90238     -0.43787   2      6.05134
      4.86773     -0.38092     -3.62879   3      6.08342
      3.27540      2.44762      4.51760   2      6.09326
      2.61681     -5.50354     -0.43787   2      6.10970
     -3.58586      3.82204      3.21015   3      6.14585
     -5.40819     -2.90238     -0.43787   2      6.15338
     -2.73319     -5.50354     -0.43787   2      6.16044
     -0.48227      4.96908     -3.62879   3      6.17191
      1.95821      2.44762     -5.39333   2      6.23806
     -4.26282     -4.20296     -1.88347   3      6.27566
      5.52632      2.67500      1.32668   3      6.28139
      5.52632     -2.67500      1.32668   3      6.28139
      3.27540     -2.90238      4.51760   2      6.28973
     -3.60423     -4.20296      3.07199   3      6.33186
      0.83491     -0.38092      6.28214   3      6.34881
     -4.93254      2.48454      3.14107   1      6.35368
      4.92592      2.52146     -3.19092   2      6.38783
     -2.49868     -5.73092      1.32668   3      6.39116
      1.95821     -2.90238     -5.39333   2      6.43011
