# # Once                                                         FEFF 9.9.1  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=28 Rmt= 1.329 Rnm= 1.367 K  shell
# # Pot 1 Z=28 Rmt= 1.346 Rnm= 1.388
# # Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.810E+01eV kf=2.027E+00 Vint=-2.626E+01eV Rs_int= 1.789
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.4974
#           2       0.00000     23.33      6.00     2   3.5319
#           3       0.00000     13.44     48.00     3   3.7461
#           4       0.00000      9.61     48.00     3   4.2634
#           5       0.00000     57.08     24.00     2   4.3257
#           6       0.00000     12.35     48.00     3   4.6603
#           7       0.00000     25.78     96.00     3   4.6603
#           8       0.00000     19.67     12.00     2   4.9949
#           9       0.00000      9.86     12.00     3   4.9949
#          10       0.00000     45.82     24.00     3   4.9949
#          11       0.00000      8.86     12.00     4   4.9949
#          12       0.00000      4.39     12.00     4   4.9949
#          14       0.00000     37.20     12.00     4   4.9949
#    13/  15 paths used
#  xsedge+50, used to normalize mu           2.6834E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8342.105    -18.103   0.000  1.09392E-01  3.17238E-01 -3.80836E-01
    8342.115    -18.093   0.050  1.16114E-01  3.21921E-01 -3.76254E-01
    8342.143    -18.065   0.100  1.22880E-01  3.26604E-01 -3.71613E-01
    8342.191    -18.017   0.150  1.42786E-01  3.40626E-01 -3.58492E-01
    8342.258    -17.950   0.200  1.62991E-01  3.54647E-01 -3.45005E-01
    8342.343    -17.865   0.250  1.94194E-01  3.76740E-01 -3.25105E-01
    8342.448    -17.760   0.300  2.25812E-01  3.98833E-01 -3.04894E-01
    8342.572    -17.636   0.350  2.62833E-01  4.25175E-01 -2.82001E-01
    8342.715    -17.493   0.400  2.99881E-01  4.51517E-01 -2.59705E-01
    8342.877    -17.331   0.450  3.35410E-01  4.77571E-01 -2.39291E-01
    8343.058    -17.150   0.500  3.70077E-01  5.03624E-01 -2.20996E-01
    8343.258    -16.950   0.550  3.98860E-01  5.27229E-01 -2.08290E-01
    8343.477    -16.731   0.600  4.25775E-01  5.50833E-01 -1.99043E-01
    8343.715    -16.493   0.650  4.45668E-01  5.72130E-01 -1.97052E-01
    8343.972    -16.236   0.700  4.63062E-01  5.93426E-01 -1.98956E-01
    8344.248    -15.960   0.750  4.74170E-01  6.13164E-01 -2.07501E-01
    8344.544    -15.664   0.800  4.82879E-01  6.32902E-01 -2.19186E-01
    8344.858    -15.350   0.850  4.87113E-01  6.51643E-01 -2.35113E-01
    8345.191    -15.017   0.900  4.89882E-01  6.70383E-01 -2.52403E-01
    8345.544    -14.664   0.950  4.90549E-01  6.88383E-01 -2.70702E-01
    8345.915    -14.293   1.000  4.91280E-01  7.06382E-01 -2.88145E-01
    8346.306    -13.902   1.050  4.92482E-01  7.23695E-01 -3.03367E-01
    8346.715    -13.493   1.100  4.95473E-01  7.41008E-01 -3.15676E-01
    8347.144    -13.064   1.150  5.01087E-01  7.57519E-01 -3.23365E-01
    8347.592    -12.616   1.200  5.09999E-01  7.74030E-01 -3.26683E-01
    8348.058    -12.150   1.250  5.23018E-01  7.89585E-01 -3.24032E-01
    8348.544    -11.664   1.300  5.40470E-01  8.05140E-01 -3.16176E-01
    8349.049    -11.159   1.350  5.62824E-01  8.19570E-01 -3.01866E-01
    8349.573    -10.635   1.400  5.90457E-01  8.34000E-01 -2.81889E-01
    8350.116    -10.092   1.450  6.23269E-01  8.47166E-01 -2.55552E-01
    8350.678     -9.530   1.500  6.61798E-01  8.60331E-01 -2.23498E-01
    8351.259     -8.949   1.550  7.05063E-01  8.72111E-01 -1.85790E-01
    8351.859     -8.349   1.600  7.53451E-01  8.83891E-01 -1.43348E-01
    8352.478     -7.730   1.650  8.05012E-01  8.94247E-01 -9.70629E-02
    8353.116     -7.092   1.700  8.58964E-01  9.04604E-01 -4.91400E-02
    8353.773     -6.435   1.750  9.12738E-01  9.13517E-01 -8.31985E-04
    8354.450     -5.758   1.800  9.64072E-01  9.22431E-01  4.40781E-02
    8355.145     -5.063   1.850  1.01029E+00  9.29961E-01  8.44393E-02
    8355.859     -4.349   1.900  1.04898E+00  9.37492E-01  1.16375E-01
