# # Once                                                         FEFF 9.9.1  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=28 Rmt= 1.329 Rnm= 1.367 K  shell
# # Pot 1 Z=28 Rmt= 1.346 Rnm= 1.388
# # Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.810E+01eV kf=2.027E+00 Vint=-2.626E+01eV Rs_int= 1.789
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.4974
#           2       0.00000     23.33      6.00     2   3.5319
#           3       0.00000     13.45     48.00     3   3.7461
#           4       0.00000      9.61     48.00     3   4.2634
#           5       0.00000     57.08     24.00     2   4.3257
#           6       0.00000     12.35     48.00     3   4.6603
#           7       0.00000     25.79     96.00     3   4.6603
#           8       0.00000     19.67     12.00     2   4.9949
#           9       0.00000      9.86     12.00     3   4.9949
#          10       0.00000     45.82     24.00     3   4.9949
#          11       0.00000      8.86     12.00     4   4.9949
#          12       0.00000      4.39     12.00     4   4.9949
#          14       0.00000     37.19     12.00     4   4.9949
#    13/  15 paths used
#  xsedge+50, used to normalize mu           2.6834E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8342.105    -18.104   0.000  1.09068E-01  3.17122E-01 -3.81397E-01
    8342.115    -18.095   0.050  1.15788E-01  3.21802E-01 -3.76812E-01
    8342.143    -18.066   0.100  1.22552E-01  3.26482E-01 -3.72168E-01
    8342.191    -18.018   0.150  1.42458E-01  3.40496E-01 -3.59034E-01
    8342.258    -17.952   0.200  1.62665E-01  3.54511E-01 -3.45530E-01
    8342.343    -17.866   0.250  1.93853E-01  3.76586E-01 -3.25599E-01
    8342.448    -17.761   0.300  2.25462E-01  3.98661E-01 -3.05348E-01
    8342.572    -17.637   0.350  2.62494E-01  4.24993E-01 -2.82401E-01
    8342.715    -17.495   0.400  2.99560E-01  4.51325E-01 -2.60042E-01
    8342.877    -17.333   0.450  3.35113E-01  4.77370E-01 -2.39559E-01
    8343.058    -17.152   0.500  3.69807E-01  5.03414E-01 -2.21190E-01
    8343.258    -16.952   0.550  3.98631E-01  5.27022E-01 -2.08414E-01
    8343.477    -16.733   0.600  4.25588E-01  5.50629E-01 -1.99098E-01
    8343.715    -16.494   0.650  4.45512E-01  5.71920E-01 -1.97049E-01
    8343.972    -16.237   0.700  4.62935E-01  5.93212E-01 -1.98903E-01
    8344.248    -15.961   0.750  4.74063E-01  6.12938E-01 -2.07410E-01
    8344.544    -15.666   0.800  4.82788E-01  6.32664E-01 -2.19067E-01
    8344.858    -15.351   0.850  4.87032E-01  6.51403E-01 -2.34979E-01
    8345.191    -15.018   0.900  4.89806E-01  6.70141E-01 -2.52265E-01
    8345.544    -14.666   0.950  4.90484E-01  6.88150E-01 -2.70569E-01
    8345.915    -14.294   1.000  4.91221E-01  7.06159E-01 -2.88027E-01
    8346.306    -13.904   1.050  4.92413E-01  7.23472E-01 -3.03269E-01
    8346.715    -13.494   1.100  4.95388E-01  7.40785E-01 -3.15605E-01
    8347.144    -13.065   1.150  5.00983E-01  7.57298E-01 -3.23323E-01
    8347.592    -12.618   1.200  5.09873E-01  7.73810E-01 -3.26673E-01
    8348.058    -12.151   1.250  5.22860E-01  7.89367E-01 -3.24055E-01
    8348.544    -11.665   1.300  5.40279E-01  8.04924E-01 -3.16230E-01
    8349.049    -11.160   1.350  5.62614E-01  8.19365E-01 -3.01951E-01
    8349.573    -10.637   1.400  5.90229E-01  8.33806E-01 -2.82003E-01
    8350.116    -10.094   1.450  6.23007E-01  8.46975E-01 -2.55692E-01
    8350.678     -9.532   1.500  6.61507E-01  8.60143E-01 -2.23661E-01
    8351.259     -8.951   1.550  7.04747E-01  8.71925E-01 -1.85973E-01
    8351.859     -8.351   1.600  7.53116E-01  8.83708E-01 -1.43545E-01
    8352.478     -7.731   1.650  8.04661E-01  8.94066E-01 -9.72673E-02
    8353.116     -7.093   1.700  8.58605E-01  9.04425E-01 -4.93438E-02
    8353.773     -6.436   1.750  9.12390E-01  9.13352E-01 -1.02730E-03
    8354.450     -5.760   1.800  9.63745E-01  9.22278E-01  4.39002E-02
    8355.145     -5.064   1.850  1.00999E+00  9.29813E-01  8.42866E-02
    8355.859     -4.350   1.900  1.04870E+00  9.37349E-01  1.16254E-01
    8356.593     -3.617   1.950  1.07758E+00  9.43500E-01  1.39201E-01
    8357.345     -2.864   2.000  1.09559E+00  9.49651E-01  1.50678E-01
    8358.117     -2.093   2.050  1.10273E+00  9.54220E-01  1.52734E-01
    8358.907     -1.302   2.100  1.10011E+00  9.58789E-01  1.44790E-01
    8359.717     -0.492   2.150  1.09071E+00  9.63358E-01  1.29981E-01
    8360.545      0.336   2.200  1.07812E+00  9.67927E-01  1.12037E-01
    8361.393      1.184   2.250  1.06254E+00  9.70668E-01  9.32166E-02
    8362.260      2.051   2.300  1.05087E+00  9.73410E-01  7.84255E-02
    8363.146      2.937   2.350  1.04458E+00  9.76151E-01  6.91431E-02
    8364.051      3.841   2.400  1.04290E+00  9.78893E-01  6.45347E-02
    8364.975      4.765   2.450  1.04170E+00  9.80386E-01  6.17637E-02
    8365.918      5.708   2.500  1.03836E+00  9.81879E-01  5.68389E-02
    8366.880      6.670   2.550  1.03012E+00  9.83372E-01  4.69961E-02
    8367.861      7.651   2.600  1.01608E+00  9.84866E-01  3.13532E-02
    8368.861      8.652   2.650  1.00473E+00  9.85595E-01  1.92152E-02
    8369.880      9.671   2.700  9.91433E-01  9.86325E-01  5.12725E-03
    8370.918     10.709   2.750  9.77408E-01  9.87055E-01 -9.68032E-03
    8371.975     11.766   2.800  9.64349E-01  9.87784E-01 -2.35089E-02
    8373.052     12.842   2.850  9.50556E-01  9.88143E-01 -3.77017E-02
    8374.147     13.938   2.900  9.40624E-01  9.88502E-01 -4.80200E-02
    8375.262     15.052   2.950  9.35972E-01  9.88861E-01 -5.30413E-02
    8376.395     16.186   3.000  9.37401E-01  9.89219E-01 -5.19645E-02
    8377.548     17.338   3.050  9.41197E-01  9.89475E-01 -4.84106E-02
    8378.719     18.510   3.100  9.52002E-01  9.89731E-01 -3.78305E-02
    8379.910     19.700   3.150  9.68483E-01  9.89987E-01 -2.15603E-02
    8381.119     20.910   3.200  9.88417E-01  9.90242E-01 -1.83006E-03
    8382.348     22.139   3.250  1.00917E+00  9.90571E-01  1.86430E-02
    8383.596     23.387   3.300  1.03079E+00  9.90900E-01  3.99769E-02
    8384.863     24.653   3.350  1.04994E+00  9.91228E-01  5.88315E-02
    8386.149     25.939   3.400  1.06365E+00  9.91557E-01  7.22227E-02
    8387.453     27.244   3.450  1.07291E+00  9.92028E-01  8.09919E-02
    8388.777     28.568   3.500  1.07421E+00  9.92498E-01  8.17968E-02
    8390.120     29.911   3.550  1.06714E+00  9.92969E-01  7.42140E-02
    8391.483     31.273   3.600  1.05274E+00  9.93440E-01  5.93177E-02
    8392.864     32.654   3.650  1.03447E+00  9.94048E-01  4.04127E-02
    8394.264     34.055   3.700  1.01211E+00  9.94656E-01  1.74345E-02
    8395.683     35.474   3.750  9.88424E-01  9.95264E-01 -6.83100E-03
    8397.121     36.912   3.800  9.66277E-01  9.95872E-01 -2.95382E-02
    8398.579     38.369   3.850  9.47047E-01  9.96571E-01 -4.93973E-02
    8400.055     39.846   3.900  9.32458E-01  9.97269E-01 -6.46047E-02
    8401.550     41.341   3.950  9.23319E-01  9.97968E-01 -7.43638E-02
    8403.065     42.856   4.000  9.19474E-01  9.98666E-01 -7.88406E-02
    8404.598     44.389   4.050  9.19685E-01  9.99372E-01 -7.92832E-02
    8406.151     45.942   4.100  9.23283E-01  1.00008E+00 -7.63578E-02
    8407.723     47.513   4.150  9.28786E-01  1.00078E+00 -7.15433E-02
    8409.313     49.104   4.200  9.34803E-01  1.00149E+00 -6.62241E-02
    8410.923     50.714   4.250  9.41052E-01  1.00210E+00 -6.05899E-02
    8412.552     52.342   4.300  9.46861E-01  1.00271E+00 -5.53980E-02
    8414.200     53.990   4.350  9.52283E-01  1.00331E+00 -5.05958E-02
    8415.866     55.657   4.400  9.57867E-01  1.00392E+00 -4.56379E-02
    8417.552     57.343   4.450  9.65072E-01  1.00436E+00 -3.89197E-02
    8419.257     59.048   4.500  9.73950E-01  1.00480E+00 -3.05504E-02
    8420.981     60.772   4.550  9.85130E-01  1.00524E+00 -1.99068E-02
    8422.724     62.515   4.600  9.98980E-01  1.00568E+00 -6.62730E-03
    8424.487     64.277   4.650  1.01515E+00  1.00587E+00  9.18047E-03
    8426.268     66.058   4.700  1.03302E+00  1.00606E+00  2.66802E-02
    8428.068     67.859   4.750  1.05193E+00  1.00625E+00  4.51968E-02
    8429.887     69.678   4.800  1.07096E+00  1.00645E+00  6.38354E-02
    8431.726     71.516   4.850  1.08823E+00  1.00636E+00  8.10147E-02
    8433.583     73.374   4.900  1.10357E+00  1.00628E+00  9.62955E-02
    8435.459     75.250   4.950  1.11600E+00  1.00619E+00  1.08709E-01
    8437.355     77.145   5.000  1.12453E+00  1.00611E+00  1.17257E-01
    8439.269     79.060   5.050  1.12776E+00  1.00575E+00  1.20872E-01
    8441.203     80.994   5.100  1.12540E+00  1.00539E+00  1.18942E-01
    8443.155     82.946   5.150  1.11663E+00  1.00504E+00  1.10661E-01
    8445.127     84.918   5.200  1.10096E+00  1.00468E+00  9.55270E-02
    8447.118     86.909   5.250  1.07807E+00  1.00408E+00  7.34577E-02
    8449.128     88.918   5.300  1.04886E+00  1.00349E+00  4.50822E-02
    8451.156     90.947   5.350  1.01477E+00  1.00289E+00  1.18079E-02
    8453.204     92.995   5.400  9.78032E-01  1.00230E+00 -2.41405E-02
    8455.271     95.062   5.450  9.41298E-01  1.00154E+00 -5.99819E-02
    8457.357     97.148   5.500  9.08052E-01  1.00078E+00 -9.24093E-02
    8459.462     99.253   5.550  8.81373E-01  1.00002E+00 -1.18341E-01
    8461.586    101.377   5.600  8.63676E-01  9.99257E-01 -1.35350E-01
    8463.729    103.520   5.650  8.56400E-01  9.98399E-01 -1.41890E-01
    8465.892    105.682   5.700  8.59450E-01  9.97542E-01 -1.38114E-01
    8468.073    107.863   5.750  8.71243E-01  9.96685E-01 -1.25580E-01
    8470.273    110.064   5.800  8.88994E-01  9.95828E-01 -1.07051E-01
    8472.492    112.283   5.850  9.09509E-01  9.94942E-01 -8.56875E-02
    8474.731    114.521   5.900  9.28978E-01  9.94057E-01 -6.53344E-02
    8476.988    116.779   5.950  9.44716E-01  9.93172E-01 -4.86921E-02
    8479.265    119.055   6.000  9.55450E-01  9.92287E-01 -3.70516E-02
    8481.560    121.351   6.050  9.61791E-01  9.91505E-01 -2.99109E-02
    8483.875    123.665   6.100  9.65762E-01  9.90722E-01 -2.51471E-02
    8486.208    125.999   6.150  9.70852E-01  9.89940E-01 -1.92459E-02
    8488.561    128.352   6.200  9.80918E-01  9.89158E-01 -8.31432E-03
    8490.933    130.723   6.250  9.99179E-01  9.88375E-01  1.09107E-02
    8493.323    133.114   6.300  1.02725E+00  9.87593E-01  4.00889E-02
    8495.733    135.524   6.350  1.06447E+00  9.86810E-01  7.85569E-02
    8498.162    137.953   6.400  1.10756E+00  9.86028E-01  1.23043E-01
    8500.610    140.401   6.450  1.15098E+00  9.85245E-01  1.67925E-01
    8503.077    142.868   6.500  1.18763E+00  9.84463E-01  2.06024E-01
    8505.563    145.354   6.550  1.20957E+00  9.83878E-01  2.29005E-01
    8508.068    147.859   6.600  1.21068E+00  9.83293E-01  2.30857E-01
    8510.592    150.383   6.650  1.18744E+00  9.82708E-01  2.07985E-01
    8513.135    152.926   6.700  1.13994E+00  9.82123E-01  1.60423E-01
    8515.698    155.488   6.750  1.07217E+00  9.81538E-01  9.21810E-02
    8518.279    158.070   6.800  9.91624E-01  9.80953E-01  1.08600E-02
    8520.879    160.670   6.850  9.08271E-01  9.80368E-01 -7.34166E-02
    8523.498    163.289   6.900  8.32963E-01  9.79783E-01 -1.49597E-01
    8526.137    165.928   6.950  7.75635E-01  9.79198E-01 -2.07536E-01
    8528.794    168.585   7.000  7.43599E-01  9.78613E-01 -2.39743E-01
    8531.471    171.262   7.050  7.40887E-01  9.78055E-01 -2.42082E-01
    8534.166    173.957   7.100  7.65759E-01  9.77497E-01 -2.16251E-01
    8536.881    176.672   7.150  8.12469E-01  9.76939E-01 -1.68073E-01
    8539.615    179.405   7.200  8.72030E-01  9.76381E-01 -1.06699E-01
    8542.367    182.158   7.250  9.33870E-01  9.75823E-01 -4.29224E-02
    8545.139    184.930   7.300  9.87761E-01  9.75265E-01  1.27915E-02
    8547.930    187.721   7.350  1.02565E+00  9.74707E-01  5.21823E-02
    8550.740    190.531   7.400  1.04306E+00  9.74149E-01  7.06283E-02
    8553.569    193.360   7.450  1.03977E+00  9.73591E-01  6.78629E-02
    8556.417    196.208   7.500  1.01966E+00  9.73033E-01  4.78477E-02
    8559.284    199.075   7.550  9.89661E-01  9.72237E-01  1.78939E-02
    8562.170    201.961   7.600  9.58970E-01  9.71440E-01 -1.28165E-02
    8565.075    204.866   7.650  9.36170E-01  9.70643E-01 -3.54598E-02
    8567.999    207.790   7.700  9.27837E-01  9.69847E-01 -4.32484E-02
    8570.942    210.733   7.750  9.37238E-01  9.69050E-01 -3.27773E-02
    8573.905    213.695   7.800  9.63728E-01  9.68253E-01 -4.66659E-03
    8576.886    216.677   7.850  1.00293E+00  9.67457E-01  3.66097E-02
    8579.886    219.677   7.900  1.04765E+00  9.66660E-01  8.36563E-02
    8582.906    222.696   7.950  1.08934E+00  9.65863E-01  1.27646E-01
    8585.944    225.735   8.000  1.11978E+00  9.65067E-01  1.60062E-01
    8589.002    228.792   8.050  1.13210E+00  9.64077E-01  1.74031E-01
    8592.078    231.869   8.100  1.12364E+00  9.63087E-01  1.66471E-01
    8595.174    234.965   8.150  1.09492E+00  9.62097E-01  1.37870E-01
    8598.288    238.079   8.200  1.04989E+00  9.61107E-01  9.22609E-02
    8601.422    241.213   8.250  9.95057E-01  9.60117E-01  3.63474E-02
    8604.575    244.366   8.300  9.38172E-01  9.59127E-01 -2.18231E-02
    8607.747    247.538   8.350  8.86804E-01  9.58137E-01 -7.43698E-02
    8610.938    250.728   8.400  8.47005E-01  9.57147E-01 -1.14957E-01
    8614.148    253.938   8.450  8.22383E-01  9.56157E-01 -1.39776E-01
    8617.377    257.167   8.500  8.13710E-01  9.55168E-01 -1.47966E-01
    8620.625    260.415   8.550  8.19129E-01  9.54091E-01 -1.41334E-01
    8623.892    263.682   8.600  8.34714E-01  9.53015E-01 -1.24028E-01
    8627.178    266.968   8.650  8.55737E-01  9.51938E-01 -1.00975E-01
    8630.483    270.274   8.700  8.77682E-01  9.50862E-01 -7.68994E-02
    8633.807    273.598   8.750  8.97160E-01  9.49786E-01 -5.53645E-02
    8637.150    276.941   8.800  9.12451E-01  9.48709E-01 -3.81886E-02
    8640.513    280.303   8.850  9.23609E-01  9.47633E-01 -2.53325E-02
    8643.894    283.685   8.900  9.32114E-01  9.46556E-01 -1.52463E-02
    8647.294    287.085   8.950  9.40220E-01  9.45480E-01 -5.55919E-03
    8650.714    290.505   9.000  9.50144E-01  9.44403E-01  6.07432E-03
    8654.152    293.943   9.050  9.63483E-01  9.43382E-01  2.12936E-02
    8657.610    297.401   9.100  9.80322E-01  9.42360E-01  4.02563E-02
    8661.087    300.877   9.150  9.99306E-01  9.41338E-01  6.15386E-02
    8664.582    304.373   9.200  1.01789E+00  9.40317E-01  8.24375E-02
    8668.097    307.888   9.250  1.03289E+00  9.39295E-01  9.95740E-02
    8671.631    311.421   9.300  1.04125E+00  9.38273E-01  1.09682E-01
    8675.183    314.974   9.350  1.04078E+00  9.37252E-01  1.10389E-01
    8678.755    318.546   9.400  1.03067E+00  9.36230E-01  1.00812E-01
    8682.346    322.137   9.450  1.01177E+00  9.35208E-01  8.18155E-02
    8685.956    325.747   9.500  9.86425E-01  9.34187E-01  5.58831E-02
    8689.585    329.376   9.550  9.57896E-01  9.33242E-01  2.64021E-02
    8693.233    333.024   9.600  9.30131E-01  9.32297E-01 -2.32211E-03
    8696.900    336.691   9.650  9.06593E-01  9.31352E-01 -2.65684E-02
    8700.587    340.377   9.700  8.89631E-01  9.30407E-01 -4.38015E-02
    8704.292    344.083   9.750  8.80068E-01  9.29462E-01 -5.31131E-02
    8708.016    347.807   9.800  8.77161E-01  9.28518E-01 -5.52797E-02
    8711.759    351.550   9.850  8.78907E-01  9.27573E-01 -5.24376E-02
    8715.522    355.312   9.900  8.82626E-01  9.26628E-01 -4.74617E-02
    8719.303    359.094   9.950  8.85674E-01  9.25683E-01 -4.31990E-02
    8723.104    362.894  10.000  8.86121E-01  9.24738E-01 -4.17398E-02
    8726.923    366.714  10.050  8.83125E-01  9.23677E-01 -4.38822E-02
    8730.762    370.552  10.100  8.77148E-01  9.22617E-01 -4.92585E-02
    8734.619    374.410  10.150  8.70046E-01  9.21556E-01 -5.58676E-02
    8738.496    378.287  10.200  8.64565E-01  9.20496E-01 -6.07319E-02
    8742.392    382.182  10.250  8.63638E-01  9.19435E-01 -6.06572E-02
    8746.306    386.097  10.300  8.69596E-01  9.18375E-01 -5.30889E-02
    8750.240    390.031  10.350  8.83486E-01  9.17314E-01 -3.68594E-02
    8754.193    393.984  10.400  9.04662E-01  9.16253E-01 -1.26451E-02
    8758.165    397.956  10.450  9.30747E-01  9.15193E-01  1.69881E-02
    8762.156    401.947  10.500  9.58011E-01  9.14132E-01  4.79778E-02
    8766.166    405.957  10.550  9.82062E-01  9.13072E-01  7.55239E-02
    8770.195    409.986  10.600  9.98741E-01  9.12011E-01  9.50538E-02
    8774.243    414.034  10.650  1.00499E+00  9.10950E-01  1.03186E-01
    8778.310    418.101  10.700  9.99534E-01  9.09890E-01  9.84781E-02
