natx =     2587
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      0.39000     -2.16999     -0.43000   4      2.24630
      1.76000      1.12002      1.04999   4      2.33550
     -0.97999     -0.40999      2.13999   4      2.38915
     -1.03998      1.75002     -1.31001   4      2.42079
     -3.09788      1.53001      1.37000   3      3.71682
      2.63000     -2.40999      1.42000   3      3.83944
      0.54000      1.88000      3.53001   3      4.03571
      2.75000      1.09002     -2.77999   4      4.05943
     -2.47789      1.19001     -3.12000   2      4.15818
     -4.15790      0.10001     -1.55000   4      4.43854
     -1.15790     -3.48998      2.53001   3      4.46337
      0.73000     -0.48998     -5.04999   4      5.12596
      1.30000     -4.18999     -2.82000   4      5.21521
      3.79000      3.53001     -1.12000   3      5.29901
      4.61000     -0.63998      2.71001   4      5.38571
     -2.81790     -0.25999     -4.72000   4      5.50332
      2.13001      1.46000     -4.85999   2      5.50346
     -0.85999     -0.27000      5.53001   4      5.60299
      1.94000      4.25001     -3.19999   4      5.66269
      1.66000     -3.63000      4.04999   4      5.68638
      3.41001     -2.12999     -4.13999   3      5.77101
      0.94000      5.52791     -1.64999   2      5.84498
      1.66000      5.71791      0.45000   4      5.97098
     -2.45790      4.63790      2.98001   4      6.03588
      5.29002     -2.99998     -0.57000   4      6.10811
     -3.20790      2.83001     -4.45000   4      6.17268
     -0.37999     -5.61999     -3.21000   2      6.48327
     -1.22789      6.11792     -1.88000   4      6.51698
     -2.34789     -5.89999     -1.64000   4      6.55836
      6.18000     -1.89999      1.40000   2      6.61532
     -0.42000      0.16001     -6.70999   2      6.72502
      0.76000      2.72002     -6.10999   4      6.73113
     -5.20790     -2.55999     -3.52000   3      6.78721
      1.77001      2.66002      6.19001   4      6.96598
      4.03000     -5.45000      1.91000   4      7.04212
      6.11002     -0.45998     -3.82000   4      7.22055
     -2.47789     -3.63000      5.73000   4      7.22148
      3.42000      0.29001     -6.36000   4      7.22704
      2.36000     -5.78998      3.71001   2      7.27033
     -1.00998      5.47792     -4.85999   3      7.39237
     -5.94788      3.90002     -2.10001   4      7.41603
     -3.06790      6.51790      1.91000   2      7.45273
     -6.78790      2.41001      1.98999   4      7.47287
     -1.32789      0.93002      7.34001   2      7.51691
     -2.85791     -6.87998      1.64000   4      7.62833
