# # xx                                                           FEFF 9.9.1  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# # Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# # Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# # Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# # Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# # Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   2.2463
#           2       0.00000     91.60      1.00     2   2.3355
#           3       0.00000     86.95      1.00     2   2.3891
#           4       0.00000     84.35      1.00     2   2.4208
#           5       0.00000     29.01      1.00     2   3.7168
#           6       0.00000     26.68      1.00     2   3.8394
#           7       0.00000     12.65      2.00     3   4.0191
#           8       0.00000     12.79      2.00     3   4.0234
#           9       0.00000     23.41      1.00     2   4.0357
#          10       0.00000     22.73      1.00     2   4.0594
#          11       0.00000     15.65      1.00     2   4.1582
#          12       0.00000     13.28      2.00     3   4.2204
#          13       0.00000      9.77      2.00     3   4.2360
#          14       0.00000     17.79      1.00     2   4.4385
#          15       0.00000     10.96      2.00     3   4.4404
#          16       0.00000     17.83      1.00     2   4.4634
#          17       0.00000     19.38      2.00     3   4.4658
#          18       0.00000     11.46      2.00     3   4.4787
#          19       0.00000     13.41      1.00     4   4.4926
#          20       0.00000     12.43      2.00     3   4.5004
#          21       0.00000      9.41      2.00     3   4.5398
#          22       0.00000      6.75      2.00     4   4.5818
#          23       0.00000     12.58      2.00     3   4.6188
#          24       0.00000      4.14      2.00     4   4.6354
#          25       0.00000     14.04      2.00     4   4.6671
#          26       0.00000     10.83      1.00     4   4.6710
#          27       0.00000      9.18      2.00     3   4.7524
#          29       0.00000      9.56      1.00     4   4.7783
#          31       0.00000      5.58      2.00     4   4.8099
#          32       0.00000      8.90      1.00     4   4.8416
#          33       0.00000     10.38      2.00     3   4.9811
#    31/  33 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -4.965499E-01  9.883638E-01 -2.615225E+00
     0.0500   -5.004697E-01  9.827738E-01 -2.607289E+00
     0.1000   -5.043141E-01  9.771644E-01 -2.599302E+00
     0.1500   -5.152423E-01  9.611711E-01 -2.575834E+00
     0.2000   -5.254983E-01  9.450095E-01 -2.551934E+00
     0.2500   -5.412002E-01  9.207816E-01 -2.513303E+00
     0.3000   -5.550624E-01  8.960902E-01 -2.473580E+00
     0.3500   -5.713776E-01  8.644137E-01 -2.419442E+00
     0.4000   -5.840946E-01  8.319313E-01 -2.363258E+00
     0.4500   -5.984553E-01  8.003013E-01 -2.296869E+00
     0.5000   -6.072508E-01  7.671842E-01 -2.228281E+00
     0.5500   -6.167691E-01  7.360108E-01 -2.148005E+00
     0.6000   -6.185153E-01  7.029406E-01 -2.065947E+00
     0.6500   -6.208910E-01  6.745280E-01 -1.972280E+00
     0.7000   -6.142768E-01  6.442850E-01 -1.877202E+00
     0.7500   -6.074748E-01  6.196156E-01 -1.769081E+00
     0.8000   -5.906784E-01  5.930286E-01 -1.659854E+00
     0.8500   -5.718107E-01  5.721585E-01 -1.535927E+00
     0.9000   -5.423371E-01  5.493443E-01 -1.410904E+00
     0.9500   -5.076384E-01  5.314948E-01 -1.270047E+00
     1.0000   -4.623011E-01  5.117065E-01 -1.127750E+00
     1.0500   -4.080185E-01  4.954869E-01 -9.674996E-01
     1.1000   -3.440324E-01  4.772677E-01 -8.050096E-01
     1.1500   -2.694850E-01  4.615484E-01 -6.234894E-01
     1.2000   -1.881361E-01  4.435600E-01 -4.380233E-01
     1.2500   -9.543103E-02  4.267800E-01 -2.255137E-01
     1.3000   -2.688607E-03  4.058680E-01 -6.624388E-03
     1.3500    8.771158E-02  3.795871E-01  2.331783E-01
     1.4000    1.591983E-01  3.493517E-01  4.731544E-01
     1.4500    2.096082E-01  3.151328E-01  7.276844E-01
     1.5000    2.310828E-01  2.789459E-01  9.762706E-01
     1.5500    2.279400E-01  2.417471E-01  1.231191E+00
     1.6000    2.043707E-01  2.053977E-01  1.470755E+00
     1.6500    1.710493E-01  1.727222E-01  1.710090E+00
     1.7000    1.345555E-01  1.434289E-01  1.924392E+00
     1.7500    1.003860E-01  1.200602E-01  2.151402E+00
     1.8000    7.086303E-02  1.004453E-01  2.358480E+00
     1.8500    4.259274E-02  8.526322E-02  2.618520E+00
     1.9000    1.830078E-02  7.174466E-02  2.883660E+00
     1.9500   -6.631318E-03  5.996816E-02  3.252400E+00
     2.0000   -2.225881E-02  4.753228E-02  3.628945E+00
