# xx                                                               FEFF 9.9.1
# POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 S02  1.000                                        Global sig2  0.00000
 Debye-waller factor    0.0000000000000000        0.0000000000000000     
 -----------------------------------------------------------------------
       k         chi           mag          phase        phase-2kr  @#
     0.0000    8.149464E-03  4.176477E-02  1.963877E-01  1.963877E-01
     0.0500    8.785388E-03  4.165733E-02  2.124921E-01 -1.934511E-01
     0.1000    9.415652E-03  4.154989E-02  2.285965E-01 -5.832899E-01
     0.1500    1.126965E-02  4.124195E-02  2.767772E-01 -9.410524E-01
     0.2000    1.306896E-02  4.093402E-02  3.249579E-01 -1.298815E+00
     0.2500    1.593891E-02  4.046369E-02  4.048779E-01 -1.624838E+00
     0.3000    1.863809E-02  3.999337E-02  4.847979E-01 -1.950861E+00
     0.3500    2.212250E-02  3.941459E-02  5.959277E-01 -2.245675E+00
     0.4000    2.522773E-02  3.883582E-02  7.070574E-01 -2.540488E+00
     0.4500    2.865674E-02  3.819476E-02  8.484843E-01 -2.805004E+00
     0.5000    3.139405E-02  3.755371E-02  9.899113E-01 -3.069521E+00
     0.5500    3.383376E-02  3.689424E-02  1.160611E+00 -3.304764E+00
     0.6000    3.520065E-02  3.623478E-02  1.331311E+00 -3.540007E+00
     0.6500    3.555307E-02  3.558274E-02  1.529955E+00 -3.747306E+00
     0.7000    3.449667E-02  3.493069E-02  1.728600E+00 -3.954605E+00
     0.7500    3.181324E-02  3.429619E-02  1.953649E+00 -4.135499E+00
     0.8000    2.763114E-02  3.366170E-02  2.178698E+00 -4.316393E+00
     0.8500    2.161432E-02  3.304093E-02  2.428510E+00 -4.472524E+00
     0.9000    1.448780E-02  3.242015E-02  2.678322E+00 -4.628655E+00
     0.9500    6.013516E-03  3.179893E-02  2.951336E+00 -4.761585E+00
     1.0000   -2.577254E-03  3.117771E-02  3.224350E+00 -4.894514E+00
     1.0500   -1.126091E-02  3.053540E-02  3.519291E+00 -5.005516E+00
     1.1000   -1.862497E-02  2.989309E-02  3.814232E+00 -5.116519E+00
     1.1500   -2.439642E-02  2.920507E-02  4.130360E+00 -5.206334E+00
     1.2000   -2.751484E-02  2.851705E-02  4.446488E+00 -5.296149E+00
     1.2500   -2.768553E-02  2.775614E-02  4.783733E+00 -5.364847E+00
     1.3000   -2.477305E-02  2.699524E-02  5.120978E+00 -5.433545E+00
     1.3500   -1.880444E-02  2.613435E-02  5.480060E+00 -5.480406E+00
     1.4000   -1.085732E-02  2.527347E-02  5.839143E+00 -5.527267E+00
     1.4500   -1.500605E-03  2.428554E-02  6.221356E+00 -5.550997E+00
     1.5000    7.337135E-03  2.329761E-02  6.603569E+00 -5.574727E+00
     1.5500    1.473612E-02  2.216303E-02  7.010541E+00 -5.573699E+00
     1.6000    1.905704E-02  2.102846E-02  7.417512E+00 -5.572670E+00
     1.6500    1.974789E-02  1.974799E-02  7.850822E+00 -5.545304E+00
     1.7000    1.678519E-02  1.846752E-02  8.284131E+00 -5.517938E+00
     1.7500    1.073332E-02  1.707842E-02  8.745190E+00 -5.462822E+00
     1.8000    3.401355E-03  1.568933E-02  9.206249E+00 -5.407707E+00
     1.8500   -4.196300E-03  1.418003E-02  9.725207E+00 -5.294691E+00
     1.9000   -9.258859E-03  1.267073E-02  1.024417E+01 -5.181676E+00
     1.9500   -1.007298E-02  1.035383E-02  1.076213E+01 -5.069658E+00
     2.0000   -7.713837E-03  8.036938E-03  1.128009E+01 -4.957639E+00
     2.0500   -5.198167E-03  7.053405E-03  1.173779E+01 -4.905881E+00
     2.1000   -2.199936E-03  6.069872E-03  1.219549E+01 -4.854124E+00
     2.1500    4.410486E-04  5.086340E-03  1.265319E+01 -4.802366E+00
     2.2000    2.125294E-03  4.102808E-03  1.311089E+01 -4.750608E+00
     2.2500    3.260532E-03  3.839465E-03  1.358087E+01 -4.686576E+00
     2.3000    3.562807E-03  3.576123E-03  1.405084E+01 -4.622545E+00
     2.3500    3.071956E-03  3.312781E-03  1.452082E+01 -4.558513E+00
     2.4000    2.004260E-03  3.049439E-03  1.499079E+01 -4.494482E+00
     2.4500    8.364813E-04  3.060848E-03  1.543116E+01 -4.460059E+00
     2.5000   -5.002624E-04  3.072258E-03  1.587152E+01 -4.425636E+00
     2.5500   -1.751149E-03  3.083667E-03  1.631189E+01 -4.391214E+00
     2.6000   -2.675908E-03  3.095077E-03  1.675226E+01 -4.356791E+00
     2.6500   -3.153177E-03  3.182753E-03  1.714233E+01 -4.372663E+00
     2.7000   -3.165795E-03  3.270429E-03  1.753240E+01 -4.388536E+00
     2.7500   -2.686066E-03  3.358105E-03  1.792247E+01 -4.404408E+00
     2.8000   -1.762775E-03  3.445781E-03  1.831254E+01 -4.420280E+00
     2.8500   -6.050006E-04  3.541419E-03  1.867788E+01 -4.460884E+00
     2.9000    6.999622E-04  3.637057E-03  1.904322E+01 -4.501489E+00
     2.9500    1.979593E-03  3.732695E-03  1.940856E+01 -4.542093E+00
     3.0000    3.055862E-03  3.828333E-03  1.977389E+01 -4.582697E+00
     3.0500    3.749647E-03  3.913405E-03  2.013004E+01 -4.632495E+00
     3.1000    3.989815E-03  3.998476E-03  2.048619E+01 -4.682292E+00
     3.1500    3.725338E-03  4.083548E-03  2.084233E+01 -4.732089E+00
     3.2000    2.969017E-03  4.168620E-03  2.119848E+01 -4.781887E+00
     3.2500    1.803123E-03  4.236113E-03  2.155146E+01 -4.834845E+00
     3.3000    3.726613E-04  4.303606E-03  2.190445E+01 -4.887804E+00
     3.3500   -1.150243E-03  4.371099E-03  2.225743E+01 -4.940763E+00
     3.4000   -2.576331E-03  4.438592E-03  2.261042E+01 -4.993722E+00
     3.4500   -3.702469E-03  4.483400E-03  2.296280E+01 -5.047283E+00
     3.5000   -4.391039E-03  4.528208E-03  2.331518E+01 -5.100844E+00
     3.5500   -4.547534E-03  4.573017E-03  2.366756E+01 -5.154405E+00
     3.6000   -4.141904E-03  4.617825E-03  2.401995E+01 -5.207965E+00
     3.6500   -3.195234E-03  4.637964E-03  2.437273E+01 -5.261125E+00
     3.7000   -1.844917E-03  4.658103E-03  2.472551E+01 -5.314285E+00
     3.7500   -2.545818E-04  4.678243E-03  2.507830E+01 -5.367444E+00
     3.8000    1.381007E-03  4.698382E-03  2.543108E+01 -5.420604E+00
     3.8500    2.847665E-03  4.695078E-03  2.578442E+01 -5.473208E+00
     3.9000    3.960661E-03  4.691774E-03  2.613776E+01 -5.525811E+00
     3.9500    4.583072E-03  4.688471E-03  2.649110E+01 -5.578415E+00
     4.0000    4.638737E-03  4.685167E-03  2.684444E+01 -5.631019E+00
     4.0500    4.102186E-03  4.660271E-03  2.719795E+01 -5.683446E+00
     4.1000    3.066467E-03  4.635376E-03  2.755147E+01 -5.735874E+00
     4.1500    1.664423E-03  4.610480E-03  2.790498E+01 -5.788301E+00
