# xx                                                               FEFF 9.9.1
# POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 S02  1.000                                        Global sig2  0.00000
 Debye-waller factor    0.0000000000000000        0.0000000000000000     
 -----------------------------------------------------------------------
       k         chi           mag          phase        phase-2kr  @#
     0.0000    2.045981E-02  2.496670E-02  2.181082E+00  2.181082E+00
     0.0500    1.997262E-02  2.473440E-02  2.201719E+00  1.738175E+00
     0.1000    1.948257E-02  2.450210E-02  2.222356E+00  1.295267E+00
     0.1500    1.802911E-02  2.384329E-02  2.284182E+00  8.935484E-01
     0.2000    1.656003E-02  2.318448E-02  2.346009E+00  4.918300E-01
     0.2500    1.417468E-02  2.219898E-02  2.449008E+00  1.312847E-01
     0.3000    1.179504E-02  2.121347E-02  2.552007E+00 -2.292607E-01
     0.3500    8.555199E-03  2.005936E-02  2.700980E+00 -5.438329E-01
     0.4000    5.435714E-03  1.890526E-02  2.849952E+00 -8.584052E-01
     0.4500    1.862367E-03  1.767868E-02  3.036052E+00 -1.135850E+00
     0.5000   -1.323922E-03  1.645211E-02  3.222151E+00 -1.413296E+00
     0.5500   -4.643194E-03  1.527429E-02  3.450468E+00 -1.648523E+00
     0.6000   -7.213528E-03  1.409646E-02  3.678785E+00 -1.883750E+00
     0.6500   -9.418357E-03  1.303485E-02  3.949079E+00 -2.077001E+00
     0.7000   -1.054734E-02  1.197324E-02  4.219373E+00 -2.270252E+00
     0.7500   -1.089568E-02  1.107661E-02  4.531399E+00 -2.421771E+00
     0.8000   -1.009270E-02  1.017997E-02  4.843424E+00 -2.573290E+00
     0.8500   -8.387203E-03  9.467138E-03  5.194694E+00 -2.685565E+00
     0.9000   -5.884934E-03  8.754306E-03  5.545964E+00 -2.797839E+00
     0.9500   -2.825747E-03  8.214491E-03  5.932017E+00 -2.875332E+00
     1.0000    2.676664E-04  7.674677E-03  6.318069E+00 -2.952824E+00
     1.0500    3.143332E-03  7.280922E-03  6.729586E+00 -3.004852E+00
     1.1000    5.210020E-03  6.887166E-03  7.141103E+00 -3.056879E+00
     1.1500    6.316359E-03  6.577252E-03  7.571383E+00 -3.090144E+00
     1.2000    6.199117E-03  6.267338E-03  8.001663E+00 -3.123409E+00
     1.2500    4.950262E-03  5.962428E-03  8.445235E+00 -3.143381E+00
     1.3000    2.889158E-03  5.657517E-03  8.888807E+00 -3.163354E+00
     1.3500    3.920115E-04  5.333110E-03  9.351206E+00 -3.164499E+00
     1.4000   -1.898819E-03  5.008703E-03  9.813606E+00 -3.165645E+00
     1.4500   -3.540639E-03  4.626630E-03  1.029624E+01 -3.146551E+00
     1.5000   -4.145296E-03  4.244558E-03  1.077888E+01 -3.127456E+00
     1.5500   -3.639491E-03  3.799819E-03  1.128710E+01 -3.082783E+00
     1.6000   -2.338122E-03  3.355080E-03  1.179532E+01 -3.038111E+00
     1.6500   -6.528102E-04  2.875908E-03  1.233738E+01 -2.959592E+00
     1.7000    7.381598E-04  2.396736E-03  1.287945E+01 -2.881073E+00
     1.7500    1.525319E-03  1.941216E-03  1.347029E+01 -2.753778E+00
     1.8000    1.481403E-03  1.485696E-03  1.406113E+01 -2.626482E+00
     1.8500    8.965450E-04  1.087924E-03  1.473937E+01 -2.411779E+00
     1.9000    1.975765E-04  6.901522E-04  1.541762E+01 -2.197075E+00
     1.9500   -1.718466E-04  5.047464E-04  1.605537E+01 -2.022871E+00
     2.0000   -2.661254E-04  3.193407E-04  1.669312E+01 -1.848666E+00
     2.0500   -3.762224E-04  3.799390E-04  1.741874E+01 -1.586586E+00
     2.1000   -2.855458E-04  4.405372E-04  1.814437E+01 -1.324507E+00
     2.1500    1.024117E-05  5.011354E-04  1.886999E+01 -1.062427E+00
     2.2000    3.812777E-04  5.617336E-04  1.959562E+01 -8.003473E-01
     2.2500    6.065268E-04  6.347655E-04  2.012095E+01 -7.385589E-01
     2.3000    6.898093E-04  7.077973E-04  2.064628E+01 -6.767706E-01
     2.3500    5.706507E-04  7.808292E-04  2.117162E+01 -6.149822E-01
     2.4000    2.475971E-04  8.538610E-04  2.169695E+01 -5.531940E-01
     2.4500   -1.449301E-04  8.762528E-04  2.215731E+01 -5.563783E-01
     2.5000   -5.269027E-04  8.986446E-04  2.261767E+01 -5.595627E-01
     2.5500   -8.152835E-04  9.210364E-04  2.307803E+01 -5.627470E-01
     2.6000   -9.431665E-04  9.434282E-04  2.353839E+01 -5.659314E-01
     2.6500   -8.748811E-04  9.499778E-04  2.396223E+01 -6.056344E-01
     2.7000   -6.496699E-04  9.565273E-04  2.438607E+01 -6.453373E-01
     2.7500   -3.055336E-04  9.630769E-04  2.480992E+01 -6.850403E-01
     2.8000    9.778139E-05  9.696264E-04  2.523376E+01 -7.247433E-01
     2.8500    4.698373E-04  9.722085E-04  2.563712E+01 -7.849203E-01
     2.9000    7.682536E-04  9.747906E-04  2.604049E+01 -8.450973E-01
     2.9500    9.446042E-04  9.773726E-04  2.644386E+01 -9.052743E-01
     3.0000    9.698556E-04  9.799547E-04  2.684723E+01 -9.654513E-01
     3.0500    8.410156E-04  9.789462E-04  2.724082E+01 -1.035404E+00
     3.1000    5.839595E-04  9.779377E-04  2.763441E+01 -1.105358E+00
     3.1500    2.382221E-04  9.769292E-04  2.802800E+01 -1.175311E+00
     3.2000   -1.431952E-04  9.759206E-04  2.842159E+01 -1.245264E+00
     3.2500   -4.938948E-04  9.679697E-04  2.880980E+01 -1.320607E+00
     3.3000   -7.659175E-04  9.600188E-04  2.919800E+01 -1.395951E+00
     3.3500   -9.203296E-04  9.520678E-04  2.958620E+01 -1.471294E+00
     3.4000   -9.362395E-04  9.441169E-04  2.997440E+01 -1.546637E+00
     3.4500   -8.059075E-04  9.268672E-04  3.036175E+01 -1.622836E+00
     3.5000   -5.626007E-04  9.096176E-04  3.074909E+01 -1.699035E+00
     3.5500   -2.461730E-04  8.923680E-04  3.113644E+01 -1.775233E+00
     3.6000    9.420437E-05  8.751184E-04  3.152378E+01 -1.851432E+00
     3.6500    4.035387E-04  8.498019E-04  3.191073E+01 -1.928026E+00
     3.7000    6.363855E-04  8.244853E-04  3.229768E+01 -2.004620E+00
     3.7500    7.629805E-04  7.991688E-04  3.268464E+01 -2.081214E+00
     3.8000    7.710674E-04  7.738523E-04  3.307159E+01 -2.157807E+00
     3.8500    6.629934E-04  7.445249E-04  3.345909E+01 -2.233844E+00
     3.9000    4.666874E-04  7.151974E-04  3.384660E+01 -2.309882E+00
     3.9500    2.179707E-04  6.858700E-04  3.423411E+01 -2.385919E+00
     4.0000   -4.205392E-05  6.565426E-04  3.462162E+01 -2.461956E+00
     4.0500   -2.737445E-04  6.269569E-04  3.500936E+01 -2.537755E+00
     4.1000   -4.446641E-04  5.973712E-04  3.539711E+01 -2.613554E+00
     4.1500   -5.346236E-04  5.677855E-04  3.578485E+01 -2.689354E+00
