 # xx                                                               FEFF 9.9.1
 # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
 # Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
 # Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
 # Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
 # Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
 # Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
 # Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
 # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   11      icalc       2
 -----------------------------------------------------------------------
   2   1.000   4.1582    3.2101   -7.12338 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  28 Ni       absorbing atom
    -2.4779    1.1900   -3.1200  2  30 Zn    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.5265E+00  0.0000E+00 -3.2285E+00  8.919E-01  9.2864E+00  9.6029E-01
  0.100  3.5320E+00  3.9984E-02 -4.0418E+00  8.920E-01  9.3344E+00  9.6526E-01
  0.200  3.5482E+00  6.9677E-02 -4.8267E+00  8.922E-01  9.4751E+00  9.8003E-01
  0.300  3.5751E+00  8.1968E-02 -5.6159E+00  8.927E-01  9.6993E+00  1.0042E+00
  0.400  3.6125E+00  7.7039E-02 -6.5042E+00  8.939E-01  9.9920E+00  1.0371E+00
  0.500  3.6595E+00  7.3062E-02 -7.6717E+00  8.961E-01  1.0333E+01  1.0781E+00
  0.600  3.7152E+00  1.0747E-01 -8.8440E+00  8.996E-01  1.0697E+01  1.1263E+00
  0.700  3.7776E+00  1.8040E-01 -9.6153E+00  9.050E-01  1.1059E+01  1.1809E+00
  0.800  3.8442E+00  2.7260E-01 -1.0149E+01  9.124E-01  1.1389E+01  1.2412E+00
  0.900  3.9119E+00  3.7171E-01 -1.0563E+01  9.223E-01  1.1664E+01  1.3067E+00
  1.000  3.9771E+00  4.6862E-01 -1.0902E+01  9.345E-01  1.1864E+01  1.3769E+00
  1.100  4.0359E+00  5.5610E-01 -1.1187E+01  9.491E-01  1.1976E+01  1.4512E+00
  1.200  4.0850E+00  6.2873E-01 -1.1427E+01  9.655E-01  1.1999E+01  1.5296E+00
  1.300  4.1212E+00  6.8324E-01 -1.1629E+01  9.833E-01  1.1939E+01  1.6118E+00
  1.400  4.1422E+00  7.1824E-01 -1.1795E+01  1.002E+00  1.1814E+01  1.6978E+00
  1.500  4.1460E+00  7.3409E-01 -1.1926E+01  1.021E+00  1.1648E+01  1.7877E+00
  1.600  4.1316E+00  7.3235E-01 -1.2022E+01  1.038E+00  1.1470E+01  1.8815E+00
  1.700  4.0980E+00  7.1535E-01 -1.2080E+01  1.054E+00  1.1318E+01  1.9797E+00
  1.800  4.0446E+00  6.8584E-01 -1.2097E+01  1.067E+00  1.1229E+01  2.0824E+00
  1.900  3.9405E+00  6.3646E-01 -1.1971E+01  1.075E+00  1.1271E+01  2.2009E+00
  2.000  3.8196E+00  5.6581E-01 -1.1865E+01  1.213E+00  7.8023E+00  2.3237E+00
  2.200  3.8204E+00  5.0097E-01 -1.2359E+01  1.410E+00  5.6464E+00  2.4861E+00
  2.400  3.8488E+00  4.4818E-01 -1.2972E+01  1.450E+00  5.0770E+00  2.6313E+00
  2.600  3.8015E+00  3.9344E-01 -1.3442E+01  1.442E+00  4.8749E+00  2.7884E+00
  2.800  3.7187E+00  3.3953E-01 -1.3811E+01  1.416E+00  4.8469E+00  2.9519E+00
  3.000  3.6140E+00  2.9328E-01 -1.4064E+01  1.375E+00  4.9180E+00  3.1212E+00
  3.200  3.4977E+00  2.5372E-01 -1.4179E+01  1.334E+00  5.0541E+00  3.2953E+00
  3.400  3.3737E+00  2.2897E-01 -1.4138E+01  1.292E+00  5.2369E+00  3.4735E+00
  3.600  3.2485E+00  2.2318E-01 -1.3987E+01  1.255E+00  5.4556E+00  3.6552E+00
  3.800  3.1241E+00  2.4005E-01 -1.3812E+01  1.216E+00  5.7033E+00  3.8398E+00
  4.000  3.0026E+00  2.6923E-01 -1.3676E+01  1.184E+00  5.9752E+00  4.0269E+00
  4.200  2.8854E+00  3.0390E-01 -1.3586E+01  1.151E+00  6.2680E+00  4.2161E+00
  4.400  2.7714E+00  3.3853E-01 -1.3526E+01  1.124E+00  6.5791E+00  4.4069E+00
  4.600  2.6600E+00  3.7353E-01 -1.3492E+01  1.101E+00  6.9068E+00  4.5992E+00
  4.800  2.5511E+00  4.1234E-01 -1.3479E+01  1.080E+00  7.2494E+00  4.7927E+00
  5.000  2.4424E+00  4.5431E-01 -1.3473E+01  1.063E+00  7.6058E+00  4.9872E+00
  5.200  2.3334E+00  5.0229E-01 -1.3480E+01  1.049E+00  7.9751E+00  5.1825E+00
  5.400  2.2232E+00  5.5489E-01 -1.3494E+01  1.037E+00  8.3564E+00  5.3786E+00
  5.600  2.1115E+00  6.0846E-01 -1.3506E+01  1.027E+00  8.7491E+00  5.5753E+00
  5.800  1.9991E+00  6.6052E-01 -1.3521E+01  1.017E+00  9.1525E+00  5.7725E+00
  6.000  1.8862E+00  7.0593E-01 -1.3536E+01  1.009E+00  9.5663E+00  5.9701E+00
  6.500  1.6095E+00  7.8037E-01 -1.3574E+01  9.901E-01  1.0643E+01  6.4656E+00
  7.000  1.3521E+00  7.9997E-01 -1.3616E+01  9.727E-01  1.1777E+01  6.9628E+00
  7.500  1.1197E+00  7.9371E-01 -1.3661E+01  9.579E-01  1.2963E+01  7.4610E+00
  8.000  9.0565E-01  7.8375E-01 -1.3710E+01  9.478E-01  1.4199E+01  7.9600E+00
  8.500  7.0307E-01  7.6671E-01 -1.3760E+01  9.412E-01  1.5482E+01  8.4595E+00
  9.000  4.9507E-01  7.2953E-01 -1.3807E+01  9.367E-01  1.6809E+01  8.9594E+00
  9.500  2.9951E-01  6.7939E-01 -1.3865E+01  9.299E-01  1.8180E+01  9.4596E+00
 10.000  1.1349E-01  6.2575E-01 -1.3928E+01  9.216E-01  1.9591E+01  9.9600E+00
 11.000 -2.2904E-01  5.3809E-01 -1.4055E+01  9.104E-01  2.2532E+01  1.0961E+01
 12.000 -5.5143E-01  4.5130E-01 -1.4200E+01  9.066E-01  2.5622E+01  1.1962E+01
