# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000     0.1000E+03     1.000     2   2.2463
        2     0.00000     0.9160E+02     1.000     2   2.3355
        3     0.00000     0.8695E+02     1.000     2   2.3891
        4     0.00000     0.8435E+02     1.000     2   2.4208
        5     0.00000     0.2901E+02     1.000     2   3.7168
        6     0.00000     0.2668E+02     1.000     2   3.8394
        7     0.00000     0.1265E+02     2.000     3   4.0191
        8     0.00000     0.1279E+02     2.000     3   4.0234
        9     0.00000     0.2341E+02     1.000     2   4.0357
       10     0.00000     0.2273E+02     1.000     2   4.0594
       11     0.00000     0.1565E+02     1.000     2   4.1582
       12     0.00000     0.1328E+02     2.000     3   4.2204
       13     0.00000     0.9775E+01     2.000     3   4.2360
       14     0.00000     0.1779E+02     1.000     2   4.4385
       15     0.00000     0.1096E+02     2.000     3   4.4404
       16     0.00000     0.1783E+02     1.000     2   4.4634
       17     0.00000     0.1938E+02     2.000     3   4.4658
       18     0.00000     0.1146E+02     2.000     3   4.4787
       19     0.00000     0.1341E+02     1.000     4   4.4926
       20     0.00000     0.1243E+02     2.000     3   4.5004
       21     0.00000     0.9408E+01     2.000     3   4.5398
       22     0.00000     0.6752E+01     2.000     4   4.5818
       23     0.00000     0.1258E+02     2.000     3   4.6188
       24     0.00000     0.4139E+01     2.000     4   4.6354
       25     0.00000     0.1404E+02     2.000     4   4.6671
       26     0.00000     0.1083E+02     1.000     4   4.6710
       27     0.00000     0.9181E+01     2.000     3   4.7524
       28     0.00000     0.2786E+01     2.000     4   4.7563
       29     0.00000     0.9561E+01     1.000     4   4.7783
       30     0.00000     0.3140E+01     1.000     4   4.7993
       31     0.00000     0.5576E+01     2.000     4   4.8099
       32     0.00000     0.8899E+01     1.000     4   4.8416
       33     0.00000     0.1038E+02     2.000     3   4.9811
