# # xx                                                           FEFF 9.9.1  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=28 Rmt= 1.320 Rnm= 1.527 K  shell
# # Pot 1 Z=28 Rmt= 1.302 Rnm= 1.519
# # Pot 2 Z=30 Rmt= 1.280 Rnm= 1.497
# # Pot 3 Z=19 Rmt= 2.061 Rnm= 2.170
# # Pot 4 Z=17 Rmt= 1.374 Rnm= 1.582
# # Gam_ch=1.576E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.123E+00eV kf=1.540E+00 Vint=-1.059E+01eV Rs_int= 2.355
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   2.2463
#           2       0.00000     91.60      1.00     2   2.3355
#           3       0.00000     86.95      1.00     2   2.3891
#           4       0.00000     84.35      1.00     2   2.4208
#           5       0.00000     29.01      1.00     2   3.7168
#           6       0.00000     26.68      1.00     2   3.8394
#           7       0.00000     12.65      2.00     3   4.0191
#           8       0.00000     12.79      2.00     3   4.0234
#           9       0.00000     23.41      1.00     2   4.0357
#          10       0.00000     22.73      1.00     2   4.0594
#          11       0.00000     15.65      1.00     2   4.1582
#          12       0.00000     13.28      2.00     3   4.2204
#          13       0.00000      9.77      2.00     3   4.2360
#          14       0.00000     17.79      1.00     2   4.4385
#          15       0.00000     10.96      2.00     3   4.4404
#          16       0.00000     17.83      1.00     2   4.4634
#          17       0.00000     19.38      2.00     3   4.4658
#          18       0.00000     11.46      2.00     3   4.4787
#          19       0.00000     13.41      1.00     4   4.4926
#          20       0.00000     12.43      2.00     3   4.5004
#          21       0.00000      9.41      2.00     3   4.5398
#          22       0.00000      6.75      2.00     4   4.5818
#          23       0.00000     12.58      2.00     3   4.6188
#          24       0.00000      4.14      2.00     4   4.6354
#          25       0.00000     14.04      2.00     4   4.6671
#          26       0.00000     10.83      1.00     4   4.6710
#          27       0.00000      9.18      2.00     3   4.7524
#          29       0.00000      9.56      1.00     4   4.7783
#          31       0.00000      5.58      2.00     4   4.8099
#          32       0.00000      8.90      1.00     4   4.8416
#          33       0.00000     10.38      2.00     3   4.9811
#    31/  33 paths used
#  xsedge+50, used to normalize mu           2.6113E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8336.366     -7.123   0.000  1.02053E-01  3.41115E-01 -4.96550E-01
    8336.376     -7.114   0.050  1.03485E-01  3.46168E-01 -5.00470E-01
    8336.404     -7.085   0.100  1.04927E-01  3.51221E-01 -5.04314E-01
    8336.452     -7.038   0.150  1.09489E-01  3.66427E-01 -5.15242E-01
    8336.519     -6.971   0.200  1.14168E-01  3.81634E-01 -5.25498E-01
    8336.604     -6.885   0.250  1.21775E-01  4.06486E-01 -5.41200E-01
    8336.709     -6.780   0.300  1.29844E-01  4.31339E-01 -5.55062E-01
    8336.833     -6.657   0.350  1.39443E-01  4.63268E-01 -5.71378E-01
    8336.976     -6.514   0.400  1.50398E-01  4.95197E-01 -5.84095E-01
    8337.138     -6.352   0.450  1.59773E-01  5.30662E-01 -5.98455E-01
    8337.319     -6.171   0.500  1.71916E-01  5.66127E-01 -6.07251E-01
    8337.519     -5.971   0.550  1.81571E-01  6.03006E-01 -6.16769E-01
    8337.738     -5.752   0.600  1.96152E-01  6.39884E-01 -6.18515E-01
    8337.976     -5.514   0.650  2.08899E-01  6.77388E-01 -6.20891E-01
    8338.233     -5.256   0.700  2.28588E-01  7.14891E-01 -6.14277E-01
    8338.509     -4.980   0.750  2.48316E-01  7.52242E-01 -6.07475E-01
    8338.805     -4.685   0.800  2.77228E-01  7.89592E-01 -5.90678E-01
    8339.119     -4.371   0.850  3.08863E-01  8.25554E-01 -5.71811E-01
    8339.452     -4.037   0.900  3.51832E-01  8.61516E-01 -5.42337E-01
    8339.805     -3.685   0.950  4.01143E-01  8.94567E-01 -5.07638E-01
    8340.176     -3.313   1.000  4.63372E-01  9.27618E-01 -4.62301E-01
    8340.567     -2.923   1.050  5.35738E-01  9.56285E-01 -4.08018E-01
    8340.976     -2.513   1.100  6.21240E-01  9.84953E-01 -3.44032E-01
    8341.405     -2.085   1.150  7.17927E-01  1.00817E+00 -2.69485E-01
    8341.853     -1.637   1.200  8.25032E-01  1.03139E+00 -1.88136E-01
    8342.319     -1.170   1.250  9.42732E-01  1.04866E+00 -9.54310E-02
    8342.805     -0.685   1.300  1.06290E+00  1.06592E+00 -2.68861E-03
    8343.310     -0.180   1.350  1.17645E+00  1.07735E+00  8.77116E-02
    8343.834      0.344   1.400  1.26975E+00  1.08878E+00  1.59198E-01
    8344.377      0.887   1.450  1.33355E+00  1.09493E+00  2.09608E-01
    8344.939      1.449   1.500  1.36453E+00  1.10107E+00  2.31083E-01
    8345.520      2.030   1.550  1.36213E+00  1.10281E+00  2.27940E-01
    8346.120      2.630   1.600  1.33657E+00  1.10455E+00  2.04371E-01
